Participant,fmax [N],lce_opt [cm],lsee0 [cm],rmsd [%]
1,4443.846766205685,8.56133126791564,16.98566296839077,7.330776071347911
2,5070.164124768204,9.857205036775477,14.746549788258296,6.871306664619638
3,5566.093771040043,8.734861598802013,16.770800713529717,5.793646298363331
4,6793.94894149502,8.626660351396085,16.200306799405578,4.139514972727648
5,9163.81982091967,7.423629982064902,18.17417221991608,4.748941863406249
6,8507.176498500674,8.826427719076474,16.205227574346175,2.856910719787563
