time [s],phi [rad],torque [Nm],torque_comp [Nm],emg_quad [mV],emg_hams [mV],phase
0.031,0.031,57.71003341674805,10.877901013608973,0.22151940205301063,0.24149158533131324,f
0.032,0.032,56.692474365234375,11.430803826501744,0.22906267390707502,0.24795042149187033,f
0.033,0.033,53.92536163330078,9.93217257934307,0.22721066603156054,0.249552249443023,f
0.034,0.034,50.78971862792969,7.696066348414983,0.2258370893440076,0.2496006546825241,f
0.035,0.035,47.56169128417969,4.6911897408041465,0.22114593460518273,0.2553750364636425,f
0.036,0.036,44.60951614379883,1.7600883284013729,0.21759514994509857,0.24689746929952605,f
0.037,0.037,42.4857177734375,0.16138754866481123,0.218322889638122,0.25388498121667274,f
0.038,0.038,39.16488265991211,-2.0798379021634164,0.23109390044012745,0.2613505318250286,f
0.039,0.039,36.267398834228516,-3.621294013852405,0.24289842626702388,0.2714817710292352,f
0.04,0.04,34.19816589355469,-4.854404622165904,0.2387863815606316,0.27115575732090724,f
0.041,0.041,33.47275924682617,-5.118652460679555,0.23314785660250492,0.2583488600313598,f
0.042,0.042,33.538818359375,-3.9745951157941612,0.22926110253744997,0.25337696622657324,f
0.043,0.043,34.433349609375,-1.7091552200979743,0.227111388383768,0.24697457019383354,f
0.044,0.044,35.382965087890625,0.4101215991198387,0.22649361112057229,0.25411273756208486,f
0.045,0.045,37.30805969238281,2.5486967057463716,0.22958395961883246,0.2538244630226678,f
0.046,0.046,40.8531379699707,5.472416847141792,0.23297870427622336,0.25740947446208473,f
0.047,0.047,44.23229217529297,8.570327239696054,0.2299295144157786,0.25496809223011196,f
0.048,0.048,46.2303466796875,11.26203362148366,0.21701336396266938,0.23886494362733732,f
0.049,0.049,48.74345397949219,14.204203402970672,0.21387047160882183,0.23600824619023617,f
0.05,0.05,52.232078552246094,16.968084456076458,0.21585771007740273,0.23596268377846405,f
0.051,0.051,53.67649841308594,18.278513886940903,0.22397209563942733,0.2429888497789867,f
0.052,0.052,54.310523986816406,19.232779020715007,0.22924549888894827,0.2525505789569894,f
0.053,0.053,53.48959732055664,19.654184731881656,0.22809835217569205,0.25332589523708277,f
0.054,0.054,52.57603073120117,19.22086315431683,0.2257932578970371,0.2538334468759223,f
0.055,0.055,52.84041976928711,19.123058872269144,0.22024020625415222,0.25154581491862027,f
0.056,0.056,52.18390655517578,18.26889487276588,0.21608103880205495,0.24734063097283382,f
0.057,0.057,50.34870529174805,16.76058034905101,0.22182808707420754,0.25155701935655533,f
0.058,0.058,49.120521545410156,15.898275157216958,0.2366759991149169,0.26735105966317874,f
