1.412,-0.047,0.033,0.227,0.227,0.269,0.269
1.412,-0.047,0.033,0.230,0.230,0.255,0.255
1.410,-0.047,0.033,0.227,0.227,0.264,0.264
1.409,-0.047,0.033,0.233,0.233,0.255,0.255
1.410,-0.015,0.033,0.230,0.230,0.258,0.258
1.410,-0.047,0.033,0.237,0.237,0.258,0.258
1.410,-0.047,0.033,0.227,0.227,0.253,0.253
1.409,-0.031,0.033,0.224,0.224,0.259,0.259
1.408,-0.031,0.033,0.229,0.229,0.238,0.238
1.405,-0.227,0.033,0.235,0.235,0.253,0.253
1.406,-0.521,0.033,0.224,0.224,0.264,0.264
1.411,-0.374,0.036,0.238,0.238,0.250,0.250
1.412,-0.194,0.036,0.227,0.227,0.252,0.252
1.412,-0.325,0.036,0.233,0.233,0.253,0.253
1.410,-0.423,0.035,0.227,0.227,0.256,0.256
1.409,-0.292,0.035,0.232,0.232,0.253,0.253
1.409,-0.357,0.035,0.235,0.235,0.256,0.256
1.410,-0.374,0.035,0.235,0.235,0.253,0.253
1.409,-0.308,0.035,0.230,0.230,0.255,0.255
1.409,-0.357,0.035,0.243,0.243,0.256,0.256
1.410,-0.472,0.035,0.233,0.233,0.262,0.262
1.407,-0.553,0.034,0.233,0.233,0.259,0.259
1.404,-0.439,0.032,0.237,0.237,0.270,0.270
1.406,-0.211,0.033,0.241,0.241,0.255,0.255
1.409,-0.031,0.033,0.223,0.223,0.258,0.258
1.413,0.018,0.033,0.232,0.232,0.255,0.255
1.412,0.002,0.033,0.215,0.215,0.252,0.252
1.411,-0.015,0.033,0.217,0.217,0.249,0.249
1.409,-0.031,0.033,0.220,0.220,0.232,0.232
1.410,-0.015,0.033,0.212,0.212,0.229,0.229
1.410,0.002,0.033,0.208,0.208,0.238,0.238
1.409,-0.015,0.033,0.218,0.218,0.220,0.220
1.410,-0.031,0.033,0.206,0.206,0.237,0.237
1.410,-0.047,0.033,0.209,0.209,0.253,0.253
1.409,0.034,0.033,0.221,0.221,0.244,0.244
1.407,0.197,0.034,0.224,0.224,0.233,0.233
1.406,0.149,0.034,0.208,0.208,0.240,0.240
1.405,-0.015,0.034,0.229,0.229,0.243,0.243
1.409,-0.015,0.034,0.220,0.220,0.240,0.240
1.413,-0.064,0.034,0.218,0.218,0.246,0.246
1.412,-0.015,0.034,0.227,0.227,0.249,0.249
1.410,-0.015,0.034,0.223,0.223,0.249,0.249
1.410,-0.015,0.034,0.221,0.221,0.258,0.258
1.410,-0.031,0.034,0.233,0.233,0.252,0.252
1.410,-0.031,0.034,0.224,0.224,0.258,0.258
1.410,-0.047,0.034,0.224,0.224,0.270,0.270
1.410,-0.015,0.034,0.227,0.227,0.259,0.259
1.408,-0.015,0.034,0.226,0.226,0.247,0.247
1.405,-0.047,0.034,0.221,0.221,0.255,0.255
1.405,-0.031,0.034,0.237,0.237,0.259,0.259
1.409,-0.015,0.034,0.221,0.221,0.261,0.261
1.412,0.002,0.034,0.221,0.221,0.255,0.255
1.412,-0.031,0.034,0.221,0.221,0.246,0.246
1.410,-0.031,0.034,0.224,0.224,0.250,0.250
1.409,-0.015,0.034,0.221,0.221,0.255,0.255
1.409,-0.031,0.034,0.224,0.224,0.249,0.249
1.409,-0.031,0.034,0.229,0.229,0.258,0.258
1.410,-0.015,0.034,0.220,0.220,0.252,0.252
1.410,-0.031,0.034,0.215,0.215,0.258,0.258
1.411,-0.015,0.034,0.214,0.214,0.252,0.252
1.408,-0.047,0.034,0.217,0.217,0.252,0.252
1.405,-0.047,0.034,0.218,0.218,0.240,0.240
1.405,-0.047,0.034,0.215,0.215,0.250,0.250
1.409,-0.031,0.034,0.230,0.230,0.252,0.252
1.412,-0.047,0.034,0.221,0.221,0.258,0.258
1.412,-0.015,0.034,0.218,0.218,0.253,0.253
1.411,-0.047,0.034,0.227,0.227,0.256,0.256
1.409,-0.015,0.034,0.233,0.233,0.256,0.256
1.410,-0.047,0.034,0.237,0.237,0.262,0.262
1.409,-0.015,0.034,0.250,0.250,0.272,0.272
1.409,-0.047,0.034,0.243,0.243,0.279,0.279
1.410,0.002,0.034,0.240,0.240,0.273,0.273
1.409,-0.015,0.034,0.243,0.243,0.282,0.282
1.409,-0.031,0.034,0.241,0.241,0.266,0.266
1.406,-0.015,0.034,0.235,0.235,0.270,0.270
1.405,-0.015,0.034,0.249,0.249,0.284,0.284
1.406,-0.047,0.034,0.237,0.237,0.275,0.275
1.411,-0.047,0.034,0.240,0.240,0.262,0.262
1.412,-0.015,0.034,0.233,0.233,0.267,0.267
1.412,-0.047,0.034,0.230,0.230,0.267,0.267
1.411,-0.031,0.034,0.235,0.235,0.264,0.264
1.410,-0.047,0.034,0.237,0.237,0.259,0.259
1.409,-0.015,0.034,0.224,0.224,0.285,0.285
1.410,-0.031,0.034,0.230,0.230,0.256,0.256
1.410,-0.031,0.034,0.227,0.227,0.261,0.261
1.410,-0.047,0.034,0.227,0.227,0.259,0.259
1.410,-0.031,0.034,0.224,0.224,0.252,0.252
1.405,-0.031,0.034,0.235,0.235,0.255,0.255
1.405,-0.015,0.034,0.226,0.226,0.252,0.252
1.408,-0.015,0.034,0.232,0.232,0.258,0.258
1.411,-0.047,0.034,0.224,0.224,0.259,0.259
1.412,-0.047,0.034,0.230,0.230,0.258,0.258
1.411,-0.047,0.034,0.226,0.226,0.256,0.256
1.409,-0.031,0.034,0.230,0.230,0.252,0.252
1.411,-0.047,0.034,0.238,0.238,0.258,0.258
1.409,-0.031,0.034,0.233,0.233,0.256,0.256
1.410,-0.015,0.034,0.226,0.226,0.246,0.246
1.411,-0.031,0.034,0.238,0.238,0.259,0.259
1.409,-0.047,0.034,0.230,0.230,0.255,0.255
1.408,-0.015,0.034,0.227,0.227,0.249,0.249
1.406,-0.015,0.034,0.233,0.233,0.259,0.259
1.405,-0.047,0.034,0.240,0.240,0.258,0.258
1.410,-0.031,0.034,0.229,0.229,0.258,0.258
1.412,-0.031,0.034,0.238,0.238,0.259,0.259
1.412,-0.047,0.034,0.230,0.230,0.258,0.258
1.411,-0.031,0.034,0.229,0.229,0.249,0.249
1.410,-0.047,0.034,0.235,0.235,0.253,0.253
1.409,-0.047,0.034,0.223,0.223,0.247,0.247
1.409,-0.113,0.034,0.209,0.209,0.235,0.235
1.409,-0.341,0.034,0.215,0.215,0.237,0.237
1.410,-0.423,0.034,0.204,0.204,0.233,0.233
1.410,-0.243,0.034,0.204,0.204,0.233,0.233
1.409,-0.064,0.034,0.214,0.214,0.237,0.237
1.407,0.018,0.034,0.214,0.214,0.240,0.240
1.405,-0.015,0.034,0.208,0.208,0.240,0.240
1.406,-0.047,0.034,0.220,0.220,0.237,0.237
1.409,-0.031,0.034,0.215,0.215,0.249,0.249
1.412,-0.047,0.034,0.211,0.211,0.240,0.240
1.412,-0.015,0.034,0.221,0.221,0.247,0.247
1.411,-0.031,0.034,0.220,0.220,0.264,0.264
1.410,-0.031,0.034,0.220,0.220,0.246,0.246
1.410,-0.031,0.034,0.224,0.224,0.244,0.244
1.409,-0.031,0.034,0.226,0.226,0.253,0.253
1.410,-0.113,0.034,0.212,0.212,0.250,0.250
1.410,-0.276,0.034,0.226,0.226,0.247,0.247
1.410,-0.194,0.034,0.227,0.227,0.249,0.249
1.407,-0.047,0.034,0.217,0.217,0.258,0.258
1.404,-0.015,0.034,0.232,0.232,0.261,0.261
1.409,-0.015,0.034,0.224,0.224,0.252,0.252
1.411,-0.015,0.034,0.217,0.217,0.249,0.249
1.412,-0.047,0.034,0.224,0.224,0.264,0.264
1.411,-0.031,0.034,0.227,0.227,0.252,0.252
1.409,-0.031,0.034,0.221,0.221,0.255,0.255
1.410,-0.031,0.034,0.223,0.223,0.246,0.246
1.409,-0.047,0.034,0.221,0.221,0.256,0.256
1.410,-0.113,0.034,0.224,0.224,0.252,0.252
1.410,-0.341,0.034,0.217,0.217,0.252,0.252
1.410,-0.488,0.034,0.215,0.215,0.250,0.250
1.407,-0.570,0.032,0.223,0.223,0.249,0.249
