Time [s],Phi [rad],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ],q [ ],Lmtc [m],fisomrel [ ]
0.0,1.8,1.0,17.967924019207818,1.8008433406895548e-05,1.3793396604196406,0.005000086032359264,0.288653,0.5411397386247186
0.0005,1.79999375,1.0,18.27988526947962,0.0056271167291341954,1.379302038886826,0.012962761097073283,0.2886527375,0.5412307503070687
0.001,1.799975,1.0,21.627433326438393,0.011204762362205132,1.3789373777055165,0.03565031693934162,0.28865195,0.542112448270621
0.0015,1.79994375,1.0,31.090864774523613,0.016751121814149228,1.3780443613526048,0.07065883532850907,0.2886506375,0.5442680511782564
0.002,1.7999,1.0,53.629063844476256,0.022266370574832006,1.3763651042474432,0.11478549456976031,0.2886488,0.5483077433189134
0.0025,1.79984375,1.0,97.19747046175527,0.027750683150073802,1.3739313837153406,0.16464828096207637,0.28864643749999996,0.5541304855635545
0.003,1.7997750000000001,1.0,161.06056584339416,0.033204233069294174,1.3712105114728173,0.21735616678104916,0.28864354999999997,0.5605955235079383
0.0035,1.79969375,1.0,237.7991415465905,0.0386271928851602,1.3685811674131159,0.2706881954313185,0.2886401375,0.5667982239425532
0.004,1.7996,1.0,321.59006002725033,0.0440197341843542,1.3661528272627468,0.32298872123852557,0.2886362,0.5724875863759475
0.0045000000000000005,1.7994937500000001,1.0,409.39548915665296,0.049382027592762424,1.363919815894134,0.37310372903479977,0.2886317375,0.5776861211721291
0.005,1.799375,1.0,499.54387818029795,0.05471424276657718,1.361855572090658,0.4203122242165134,0.28862675,0.5824634724073425
0.0055,1.79924375,1.0,590.922008836656,0.06001654843947371,1.3599362641984685,0.46423366021863927,0.2886212375,0.5868810131213339
0.006,1.7991000000000001,1.0,682.6499036540089,0.06528911236651606,1.3581440191748195,0.5047350677130931,0.2886152,0.5909848900806969
0.006500000000000001,1.79894375,1.0,774.0144465217332,0.070532101377318,1.356464980097268,0.541851123193343,0.2886086375,0.5948109628962195
0.007,1.798775,1.0,864.4200092748772,0.07574568137137852,1.3548882273516452,0.5757226520825394,0.28860155,0.598387583186247
0.0075,1.79859375,1.0,953.3766715844675,0.08093001729650882,1.3534047265691118,0.6065516226111806,0.2885939375,0.6017381991027146
0.008,1.7984,1.0,1040.489574685815,0.08608527319768557,1.3520067159262037,0.6345699515623745,0.2885858,0.6048828824708193
0.0085,1.79819375,1.0,1125.4478450899398,0.09121161219716038,1.3506873500210324,0.6600188148913924,0.2885771375,0.607839230023042
0.009000000000000001,1.797975,1.0,1208.0032753561336,0.09630919626929356,1.3494406264130872,0.6831356413214112,0.28856795,0.6106226039924403
0.0095,1.79774375,1.0,1287.9910851577956,0.10137818709964445,1.348260815389153,0.70414608764898,0.2885582375,0.6132474632158235
0.01,1.7975,1.0,1365.287614508802,0.10641874535807501,1.3471428357241804,0.723260112916114,0.288548,0.6157265676191797
0.0105,1.79724375,1.0,1439.782052805224,0.1114310297109935,1.3460824125675743,0.7406702236186179,0.2885372375,0.6180706751001508
0.011,1.796975,1.0,1511.4272122353111,0.1164151988248082,1.3450752710687404,0.7565507208896805,0.28852595000000003,0.620290361278174
0.0115,1.79669375,1.0,1580.214127101934,0.12137141061817103,1.34411737067715,0.7710584011204501,0.2885141375,0.6223955204025666
0.012,1.7964,1.0,1646.1598199312734,0.12629982262523187,1.3432049616130948,0.7843336542016385,0.28850180000000003,0.6243952625132467
0.0125,1.79609375,1.0,1709.2703194553567,0.13120058995596487,1.3423349281284995,0.7965019170527179,0.2884889375,0.6262971842578287
0.013000000000000001,1.7957750000000001,1.0,1769.5834245973872,0.13607386751423822,1.3415042049628012,0.8076748156185576,0.28847555,0.6281086670686387
0.0135,1.79544375,1.0,1827.152070433004,0.1409198094224795,1.3407099224721684,0.8179516326946117,0.2884616375,0.6298365712021972
0.014,1.7951000000000001,1.0,1882.0608388379608,0.1457385703686817,1.3399491792161968,0.827420557698168,0.2884472,0.6314877409127363
0.0145,1.79474375,1.0,1934.366556819385,0.15053030207112997,1.3392196575752213,0.8361601500634718,0.2884322375,0.6330676782989464
0.015,1.794375,1.0,1984.1315124769783,0.15529515544340636,1.3385192068589191,0.8442402943375447,0.28841675,0.6345814623329348
0.0155,1.79399375,1.0,2031.436535378843,0.160033281399093,1.3378456763769684,0.851723158035322,0.2884007375,0.6360341165605509
0.016,1.7936,1.0,2076.363442678107,0.16474482984890648,1.337197081661205,0.8586641544532227,0.2883842,0.6374302554820364
0.0165,1.7931937500000001,1.0,2119.0151615144364,0.16942995131997318,1.3365713729786903,0.8651126714785735,0.2883671375,0.6387745883011459
0.017,1.792775,1.0,2159.465343845807,0.1740887931761491,1.3359669399913832,0.871112930496831,0.28834955,0.6400708393903902
0.0175,1.7923437500000001,1.0,2197.7885324924578,0.17872150209004922,1.3353822742554584,0.8767044967327796,0.2883314375,0.6413224812348102
0.018000000000000002,1.7919,1.0,2234.068956850049,0.18332822473428864,1.334815867327091,0.8819227981237485,0.2883128,0.6425329559502801
0.0185,1.79144375,1.0,2268.3906840578497,0.1879091067502286,1.3342663007400528,0.8867996310891247,0.2882936375,0.6437054852983437
0.019,1.790975,1.0,2300.8465446151454,0.19246429473635387,1.3337321467901277,0.8913635567145932,0.28827395,0.6448432850728719
0.0195,1.79049375,1.0,2331.5111592981343,0.19699393239222596,1.333212227380703,0.8956403316850859,0.2882537375,0.645949016339256
0.02,1.79,1.0,2360.4533112662584,0.20149816195239006,1.3327054791136026,0.899653193067175,0.288233,0.6470250770656509
0.0205,1.78949375,1.0,2387.7469060231006,0.20597712565139145,1.3322108385906506,0.9034231149780383,0.2882117375,0.6480738479684207
0.021,1.788975,1.0,2413.47054031776,0.21043096572377534,1.3317272424136706,0.9069690597669714,0.28818995000000003,0.6490976933693299
0.021500000000000002,1.78844375,1.0,2437.6906421515077,0.21485982196291273,1.3312537854433166,0.9103082306870204,0.2881676375,0.6500986276450037
0.022,1.7879,1.0,2460.497096886141,0.2192638381499759,1.3307893724047628,0.913456193245854,0.2881448,0.6510790532655075
0.0225,1.78734375,1.0,2481.946322030443,0.22364315209379879,1.330333261691885,0.9164271543990139,0.28812143749999997,0.6520406129464305
0.023,1.786775,1.0,2502.0942145642653,0.22799790108309906,1.3298847421654887,0.9192340436186023,0.28809755,0.6529848752755392
0.0235,1.78619375,1.0,2520.999088461707,0.23232822240659454,1.3294431026863789,0.9218886402742326,0.28807313749999996,0.6539133995292475
0.024,1.7856,1.0,2538.721471599792,0.23663425335300306,1.3290076321153612,0.9244016918249246,0.2880482,0.6548277360007753
0.0245,1.78499375,1.0,2555.3200581944034,0.2409161304624548,1.328577655534713,0.9267830244873728,0.2880227375,0.6557293503932125
0.025,1.784375,1.0,2570.8483414674333,0.24517398907808882,1.3281525635459785,0.9290416400075531,0.28799675,0.6566195632595744
0.025500000000000002,1.78374375,1.0,2585.3765828805663,0.2494079672119899,1.3277316046561665,0.9311857635976938,0.2879702375,0.6574999850430301
0.026000000000000002,1.7831000000000001,1.0,2598.9460453810207,0.2536181967914456,1.327314312171302,0.9332229860569357,0.2879432,0.6583716232392457
0.0265,1.78244375,1.0,2611.599112234596,0.2578048097437434,1.3269002193974109,0.9351602806322685,0.2879156375,0.659235480095423
0.027,1.781775,1.0,2623.379193090718,0.261967937996171,1.326488859640518,0.9370040615413042,0.28788755,0.6600925527124814
0.0275,1.7810937500000001,1.0,2634.330634876099,0.26610771347601603,1.3260797662066492,0.9387602362369504,0.2878589375,0.660943833133345
0.028,1.7804,1.0,2644.4986375177396,0.27022426811056593,1.3256724724018296,0.9404342521506972,0.2878298,0.6617903084173454
0.0285,1.77969375,1.0,2653.9216279920156,0.2743177301786872,1.32526658109676,0.9420311471279039,0.2878001375,0.6626328163954872
0.029,1.778975,1.0,2662.6491311584537,0.27838823417113545,1.3248615990038424,0.9435555665118925,0.28776995,0.6634723899638608
0.029500000000000002,1.7782437500000001,1.0,2670.71338881941,0.2824359074956499,1.324457197645178,0.9450118290142271,0.2877392375,0.6643097158681055
0.03,1.7775,1.0,2678.144925003295,0.286460876548993,1.3240530687394818,0.9464039376320328,0.287708,0.6651454357159589
0.0305,1.77674375,1.0,2684.9746915353094,0.29046326772792763,1.323648904005468,0.9477356045650936,0.2876762375,0.6659801879338628
0.031,1.775975,1.0,2691.2340286434246,0.29444320742921626,1.3232443951618513,0.9490102760004263,0.28764395,0.6668146077692887
0.0315,1.7751937500000001,1.0,2696.954627671971,0.2984008220496216,1.3228392339273458,0.9502311544933689,0.2876111375,0.6676493272870041
0.032,1.7744,1.0,2702.1680707165247,0.3023362375957498,1.3224331159049374,0.9514012195599084,0.2875778,0.6684849673719171
0.0325,1.77359375,1.0,2706.897811036952,0.3062495716431569,1.322025813461672,0.9525232523113594,0.2875439375,0.6693219880878458
0.033,1.772775,1.0,2711.1857172447467,0.31014096227980104,1.3216169330557181,0.953599831346736,0.28750955,0.670161187410184
0.0335,1.7719437500000002,1.0,2715.0512570762294,0.31401052935324447,1.3212062876164006,0.954633380916821,0.2874746375,0.6710029362107467
0.034,1.7711000000000001,1.0,2718.5140601728117,0.31785839271104976,1.3207936900730448,0.9556261646701852,0.2874392,0.6718476033460437
0.0345,1.7702437500000001,1.0,2721.59390237594,0.3216846722007793,1.3203789533549752,0.9565802981876195,0.2874032375,0.6726955556351104
0.035,1.7693750000000001,1.0,2724.310690797281,0.32548948766999547,1.3199618903915173,0.9574977603983785,0.28736675,0.6735471578350978
0.035500000000000004,1.76849375,1.0,2726.6844496654007,0.32927295896626074,1.3195423141119962,0.9583804039896783,0.2873297375,0.6744027726146377
0.036000000000000004,1.7676,1.0,2728.7353069476894,0.3330352059371375,1.3191200374457364,0.9592299649086926,0.2872922,0.6752627605249739
0.0365,1.76669375,1.0,2730.4834817489423,0.3367763484301881,1.318694873322063,0.9600480710455445,0.2872541375,0.6761274799688592
0.037,1.765775,1.0,2731.949272485087,0.3404965062929752,1.3182666346703014,0.960836250176301,0.28721555,0.6769972871672223
0.0375,1.76484375,1.0,2733.1453753569795,0.34419579042677007,1.3178352040949481,0.9615959421435875,0.2871764375,0.677872394891335
0.038,1.7639,1.0,2734.0910845825465,0.34787432388137324,1.3174004047555383,0.9623284971533782,0.28713679999999997,0.678753134760907
0.0385,1.76294375,1.0,2734.8083453311942,0.3515322328811714,1.3169620361910168,0.9630351836328538,0.28709663750000003,0.6796398839720809
0.039,1.761975,1.0,2735.307902063551,0.35516962950090064,1.316520000025272,0.9637172022302788,0.28705595,0.6805328111734754
0.0395,1.7609937500000001,1.0,2735.60053009441,0.3587866258152969,1.3160741978821915,0.9643756839476332,0.2870147375,0.6814320836515602
0.04,1.76,1.0,2735.697031386179,0.3623833338990962,1.3156245313856636,0.9650116949217605,0.286973,0.682337867307335
