Time [s],Phi [rad],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ],q [ ],Lmtc [m],fisomrel [ ]
0.0,1.8,1.0,17.966368737790603,1.0911617419106116e-05,1.37933983466323,0.005000031710673404,0.288653,0.5411393170844176
0.0005,1.79999375,1.0,18.276080707336373,0.005620059720669721,1.379302461485302,0.012943047139386946,0.2886527375,0.5412297280331346
0.001,1.799975,1.0,21.61842225840246,0.011197744937978297,1.3789382979567328,0.03561333399575505,0.28865195,0.5421102243037448
0.0015,1.79994375,1.0,31.070632028305738,0.016744143752121146,1.3780460847938572,0.07060821989958077,0.2886506375,0.5442638959567467
0.002,1.7999,1.0,53.58638184434763,0.022259431654220105,1.3763678725813349,0.1147255530782442,0.2886488,0.5483010984968115
0.0025,1.79984375,1.0,97.12624182532106,0.02774378315131593,1.3739348152952335,0.1645830679961513,0.28864643749999996,0.5541223020093099
0.003,1.7997750000000001,1.0,160.96813085506145,0.03319737177407436,1.3712139707987607,0.21728888568088917,0.28864354999999997,0.5605873338131914
0.0035,1.79969375,1.0,237.69484818949576,0.03862037007638557,1.3685843794942734,0.2706212727321751,0.2886401375,0.5667906734464971
0.004,1.7996,1.0,321.4792121250865,0.04401294964614446,1.3661557628904455,0.32292391848595353,0.2886362,0.5724807311929716
0.0045000000000000005,1.7994937500000001,1.0,409.2807908383467,0.04937528111043555,1.3639225080693607,0.37304221180685,0.2886317375,0.5776798728332466
0.005,1.799375,1.0,499.4269266166803,0.0547075341266292,1.3618580571228047,0.42025466838472214,0.28862675,0.5824577375488169
0.0055,1.79924375,1.0,590.8040542029631,0.06000987742978264,1.3599385686043535,0.4641803715111215,0.2886212375,0.5868757233132944
0.006,1.7991000000000001,1.0,682.5318461109339,0.06528247877595125,1.3581461650323283,0.5046860950719434,0.2886152,0.5909799887520288
0.006500000000000001,1.79894375,1.0,773.877653600118,0.070525504748303,1.3564673151444466,0.5418065556757338,0.2886086375,0.5948056544442275
0.007,1.798775,1.0,864.3060907649595,0.07573912205389569,1.3548900674183935,0.5756818253948875,0.28860155,0.5983834185196689
0.0075,1.79859375,1.0,953.2709623035996,0.08092349489093448,1.3534063524183617,0.6065144315381138,0.2885939375,0.6017345346631018
0.008,1.7984,1.0,1040.3726994523568,0.08607878720812628,1.3520084366184397,0.6345362758719546,0.2885858,0.6048790196091898
0.0085,1.79819375,1.0,1125.3325337743954,0.091205162572968,1.3506889823502062,0.6599882334379905,0.2885771375,0.6078355792671454
0.009000000000000001,1.797975,1.0,1207.8975036637885,0.09630278303201464,1.3494420716274935,0.683107802021304,0.28856795,0.6106193832164722
0.0095,1.79774375,1.0,1287.8869474340377,0.10137180981398197,1.3482621933846834,0.7041207791118753,0.2885582375,0.6132444026112542
0.01,1.7975,1.0,1365.1743690546593,0.10641240345875631,1.347144291200308,0.7232371512124529,0.288548,0.6157233453030477
0.0105,1.79724375,1.0,1439.6709147566914,0.11142472342823499,1.3460838035131844,0.7406492993099622,0.2885372375,0.618067605056912
0.011,1.796975,1.0,1511.3220136607683,0.11640892806324751,1.3450765560925415,0.7565316030720318,0.28852595000000003,0.6202875332758644
0.0115,1.79669375,1.0,1580.1075267062236,0.12136517478461453,1.3441186441671804,0.7710409440856949,0.2885141375,0.6223927255629511
