1.093,0.587,-0.321,0.183,0.183,0.230,0.230
1.091,0.620,-0.320,0.191,0.191,0.241,0.241
1.091,0.375,-0.319,0.182,0.182,0.227,0.227
1.089,0.342,-0.319,0.182,0.182,0.221,0.221
1.096,0.522,-0.322,0.169,0.169,0.220,0.220
1.096,0.603,-0.322,0.189,0.189,0.227,0.227
1.095,0.652,-0.321,0.172,0.172,0.209,0.209
1.095,0.620,-0.321,0.191,0.191,0.230,0.230
1.094,0.587,-0.321,0.182,0.182,0.232,0.232
1.093,0.603,-0.320,0.186,0.186,0.233,0.233
1.093,0.587,-0.320,0.180,0.180,0.226,0.226
1.095,0.424,-0.321,0.192,0.192,0.224,0.224
1.094,0.195,-0.321,0.182,0.182,0.233,0.233
1.093,0.260,-0.321,0.194,0.194,0.215,0.215
1.090,0.489,-0.319,0.192,0.192,0.233,0.233
1.090,0.603,-0.319,0.209,0.209,0.246,0.246
1.092,0.620,-0.321,0.188,0.188,0.249,0.249
1.097,0.587,-0.323,0.212,0.212,0.238,0.238
1.096,0.391,-0.323,0.200,0.200,0.244,0.244
1.094,0.358,-0.322,0.214,0.214,0.237,0.237
1.094,0.489,-0.322,0.211,0.211,0.215,0.215
1.094,0.636,-0.322,0.220,0.220,0.246,0.246
1.093,0.636,-0.322,0.209,0.209,0.246,0.246
1.094,0.620,-0.322,0.232,0.232,0.250,0.250
1.093,0.587,-0.322,0.214,0.214,0.255,0.255
1.094,0.587,-0.322,0.220,0.220,0.252,0.252
1.092,0.587,-0.321,0.224,0.224,0.252,0.252
1.089,0.587,-0.319,0.232,0.232,0.273,0.273
1.090,0.587,-0.320,0.224,0.224,0.253,0.253
1.093,0.587,-0.321,0.232,0.232,0.252,0.252
1.095,0.571,-0.323,0.218,0.218,0.258,0.258
1.096,0.587,-0.324,0.229,0.229,0.258,0.258
1.095,0.587,-0.323,0.227,0.227,0.258,0.258
1.093,0.603,-0.321,0.243,0.243,0.258,0.258
1.094,0.587,-0.322,0.226,0.226,0.270,0.270
1.094,0.587,-0.322,0.243,0.243,0.272,0.272
1.094,0.571,-0.322,0.237,0.237,0.269,0.269
1.094,0.554,-0.322,0.250,0.250,0.266,0.266
1.093,0.587,-0.322,0.240,0.240,0.261,0.261
1.092,0.603,-0.321,0.261,0.261,0.278,0.278
1.090,0.587,-0.320,0.262,0.262,0.269,0.269
1.090,0.391,-0.320,0.276,0.276,0.276,0.276
1.095,0.212,-0.321,0.269,0.269,0.273,0.273
1.096,0.065,-0.321,0.270,0.270,0.275,0.275
1.095,0.114,-0.321,0.264,0.264,0.279,0.279
1.094,0.146,-0.321,0.279,0.279,0.291,0.291
1.093,0.163,-0.321,0.270,0.270,0.281,0.281
1.094,0.146,-0.321,0.269,0.269,0.273,0.273
1.094,0.146,-0.321,0.270,0.270,0.281,0.281
1.094,0.326,-0.321,0.270,0.270,0.282,0.282
1.094,0.571,-0.321,0.259,0.259,0.255,0.255
1.094,0.636,-0.321,0.272,0.272,0.285,0.285
1.091,0.620,-0.319,0.261,0.261,0.291,0.291
1.090,0.636,-0.318,0.252,0.252,0.276,0.276
1.092,0.620,-0.320,0.261,0.261,0.275,0.275
1.095,0.587,-0.322,0.253,0.253,0.275,0.275
1.096,0.587,-0.322,0.244,0.244,0.269,0.269
1.095,0.620,-0.322,0.250,0.250,0.285,0.285
1.095,0.603,-0.321,0.247,0.247,0.270,0.270
1.093,0.652,-0.321,0.240,0.240,0.255,0.255
1.094,0.587,-0.321,0.240,0.240,0.269,0.269
1.094,0.603,-0.321,0.229,0.229,0.264,0.264
1.094,0.587,-0.321,0.226,0.226,0.264,0.264
1.094,0.603,-0.321,0.232,0.232,0.258,0.258
1.092,0.571,-0.320,0.232,0.232,0.259,0.259
1.090,0.391,-0.319,0.217,0.217,0.255,0.255
1.090,0.391,-0.319,0.229,0.229,0.258,0.258
1.094,0.489,-0.321,0.221,0.221,0.252,0.252
1.096,0.407,-0.321,0.214,0.214,0.250,0.250
1.095,0.212,-0.321,0.224,0.224,0.252,0.252
1.094,0.114,-0.321,0.224,0.224,0.246,0.246
1.093,0.130,-0.321,0.214,0.214,0.247,0.247
1.094,0.309,-0.321,0.227,0.227,0.250,0.250
1.094,0.554,-0.321,0.218,0.218,0.253,0.253
1.094,0.636,-0.322,0.211,0.211,0.244,0.244
1.094,0.620,-0.322,0.206,0.206,0.240,0.240
1.094,0.424,-0.321,0.212,0.212,0.240,0.240
1.092,0.342,-0.321,0.201,0.201,0.233,0.233
1.090,0.489,-0.320,0.206,0.206,0.253,0.253
1.091,0.620,-0.320,0.188,0.188,0.233,0.233
1.095,0.636,-0.323,0.186,0.186,0.226,0.226
1.096,0.620,-0.323,0.179,0.179,0.230,0.230
1.095,0.587,-0.323,0.194,0.194,0.246,0.246
1.094,0.571,-0.323,0.172,0.172,0.224,0.224
1.094,0.603,-0.322,0.189,0.189,0.229,0.229
1.093,0.571,-0.322,0.179,0.179,0.221,0.221
1.094,0.603,-0.322,0.182,0.182,0.229,0.229
1.094,0.587,-0.323,0.175,0.175,0.206,0.206
1.093,0.587,-0.322,0.183,0.183,0.227,0.227
1.094,0.587,-0.323,0.175,0.175,0.240,0.240
1.092,0.571,-0.321,0.191,0.191,0.232,0.232
1.091,0.587,-0.320,0.183,0.183,0.224,0.224
1.090,0.407,-0.320,0.192,0.192,0.230,0.230
1.094,0.375,-0.322,0.185,0.185,0.229,0.229
1.095,0.505,-0.322,0.200,0.200,0.215,0.215
1.094,0.424,-0.322,0.197,0.197,0.230,0.230
1.093,0.244,-0.321,0.206,0.206,0.250,0.250
1.094,0.130,-0.322,0.203,0.203,0.240,0.240
1.093,0.114,-0.321,0.217,0.217,0.238,0.238
1.094,0.130,-0.322,0.209,0.209,0.241,0.241
1.094,0.146,-0.322,0.218,0.218,0.247,0.247
1.093,0.130,-0.321,0.206,0.206,0.232,0.232
1.094,0.163,-0.321,0.227,0.227,0.246,0.246
1.091,0.163,-0.321,0.221,0.221,0.255,0.255
1.090,0.326,-0.321,0.224,0.224,0.246,0.246
1.092,0.538,-0.322,0.218,0.218,0.246,0.246
1.095,0.652,-0.324,0.229,0.229,0.255,0.255
1.096,0.636,-0.324,0.218,0.218,0.252,0.252
1.094,0.587,-0.323,0.230,0.230,0.255,0.255
1.094,0.587,-0.323,0.220,0.220,0.255,0.255
1.093,0.620,-0.323,0.229,0.229,0.256,0.256
1.093,0.603,-0.322,0.224,0.224,0.258,0.258
1.094,0.587,-0.323,0.233,0.233,0.255,0.255
1.094,0.571,-0.323,0.226,0.226,0.255,0.255
1.094,0.587,-0.323,0.240,0.240,0.264,0.264
1.092,0.571,-0.322,0.235,0.235,0.262,0.262
