Time [s],Phi [rad],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ],q [ ],Lmtc [m],fisomrel [ ]
0.0,1.5,1.0,33.815851851470185,1.0028738873770362e-05,1.2423586886804945,0.005000018612150161,0.276053,0.8126985523631096
0.0005,1.498,1.0,23.636832698697635,0.005619181794505743,1.2423609402901696,0.01052770600085269,0.275969,0.8126950721354108
0.001,1.496,1.0,18.332850361171616,0.011196871935099344,1.2420086602568063,0.02645632723897997,0.275885,0.8132391848236789
0.0015,1.494,1.0,17.809000504929358,0.016743275647289817,1.2411639559458572,0.05148688205133656,0.27580099999999996,0.8145406452568389
0.002,1.492,1.0,23.899049854845355,0.02225856841850264,1.2396257209031931,0.08383803783432328,0.275717,0.8168989600817124
0.0025,1.49,1.0,42.22134070491103,0.02774292475825126,1.237194195838728,0.12144995751002241,0.275633,0.8205960250651121
0.003,1.488,1.0,79.48019330417836,0.03319651819464762,1.2339950288636499,0.16233518014996212,0.275549,0.825402826744578
0.0035,1.486,1.0,136.08711110674741,0.03861952128496954,1.2304794941304351,0.20489959769048588,0.275465,0.8306097027594985
0.004,1.484,1.0,206.14308014510755,0.044012105616003265,1.2270194504846479,0.2479436116181526,0.275381,0.8356574269822975
0.0045000000000000005,1.482,1.0,283.64728882299875,0.049374441812660666,1.2237568614047158,0.2905386067936375,0.275297,0.8403471523415522
0.005,1.48,1.0,364.9322695975138,0.05470669953993828,1.2207058604829522,0.33197773959208426,0.275213,0.844671311060203
0.0055,1.478,1.0,448.04958130292596,0.060009047523303105,1.2178423321015326,0.37175748558568145,0.275129,0.8486757600273137
0.006,1.476,1.0,531.9027579913046,0.0652816534964557,1.2151385031586812,0.4095510446616092,0.275045,0.8524088790135271
0.006500000000000001,1.474,1.0,615.8172528438259,0.07052468443002137,1.2125706686283089,0.44517378931865714,0.274961,0.8559110677261279
0.007,1.472,1.0,699.2212120874832,0.07573830596365652,1.2101220513395579,0.47855083288759515,0.274877,0.8592114908828323
0.0075,1.47,1.0,781.7580624121964,0.08092268327212959,1.2077778898793676,0.5096845872867845,0.274793,0.8623352948892774
0.008,1.468,1.0,863.0721618319931,0.08607798025007499,1.2055277481451676,0.5386328657427989,0.274709,0.8653008442040069
0.0085,1.466,1.0,942.9063772655517,0.09120436022839803,1.2033625747848808,0.5654885813503675,0.274625,0.8681239259466318
0.009000000000000001,1.464,1.0,1021.0222888321689,0.0963019851901817,1.2012753128252895,0.5903664703167295,0.274541,0.8708171187725824
0.0095,1.462,1.0,1097.2431570772344,0.10137101636055289,1.1992596987537223,0.6133922778098481,0.274457,0.8733914937901015
0.01,1.46,1.0,1171.4494605757588,0.10641161458646063,1.197310035076963,0.6346955734123465,0.274373,0.8758569836030856
0.0105,1.458,1.0,1243.5214522085694,0.1114239389086384,1.1954217523778448,0.6544053119960825,0.274289,0.8782217432958301
0.011,1.456,1.0,1313.385621629614,0.11640814779001538,1.1935905437324696,0.6726461012135263,0.274205,0.880493307963542
0.0115,1.454,1.0,1381.0107860138905,0.12136439944113261,1.1918123056029115,0.6895362355480023,0.274121,0.8826786971278548
0.012,1.452,1.0,1446.3731920618977,0.12629285074350388,1.1900834848457424,0.7051868273357197,0.274037,0.8847840203727628
0.0125,1.45,1.0,1509.4540829967236,0.13119365699445376,1.1884009936328133,0.7197012488680223,0.273953,0.8868146224431399
0.013000000000000001,1.448,1.0,1570.2680108802103,0.13606697330223122,1.186761779650253,0.7331747958684307,0.273869,0.8887756302993315
0.0135,1.446,1.0,1628.84808907425,0.14091295425383155,1.1851629603244709,0.7456949599703415,0.273785,0.8906718052419592
0.014,1.444,1.0,1685.237692170578,0.1457317538345647,1.1836018718235453,0.75734180844777,0.27370099999999997,0.8925075021138089
0.0145,1.442,1.0,1739.4639347854547,0.15052352347359982,1.1820763254843565,0.7681885567581863,0.273617,0.8942863893434779
0.015,1.44,1.0,1791.5747689965658,0.1552884146001062,1.1805841326437847,0.7783018122176392,0.27353299999999997,0.8960120249913647
0.0155,1.438,1.0,1841.629602267216,0.16002657798679606,1.1791231899617245,0.7877421393313285,0.273449,0.897687764087806
0.016,1.436,1.0,1889.7013647493618,0.16473816470979386,1.1776914342739522,0.7965645528802362,0.27336499999999997,0.8993168181940872
0.0165,1.434,1.0,1935.8518011587762,0.16942332392480305,1.1762870916613857,0.8048191216611605,0.273281,0.9009019812294968
0.017,1.432,1.0,1980.1323317845597,0.1740822027533559,1.1749086382364824,0.8125514013615172,0.273197,0.9024456896373065
0.0175,1.43,1.0,2022.60543772855,0.17871494831698467,1.1735545501117,0.8198027525670795,0.273113,0.9039503129321602
0.018000000000000002,1.428,1.0,2063.3438119341113,0.18332170773722156,1.1722233033994958,0.826610744013167,0.27302899999999997,0.9054181561421085
0.0185,1.426,1.0,2102.409677443638,0.18790262605613367,1.1709135801506043,0.8330096012172531,0.272945,0.9068512376278793
0.019,1.424,1.0,2139.8881430185506,0.1924578509406662,1.169623909214779,0.8390303959046078,0.272861,0.9082516882101288
0.0195,1.422,1.0,2175.8295566951792,0.19698752484407417,1.168353253265303,0.8447015710416141,0.272777,0.909621116438102
0.02,1.42,1.0,2210.290043410984,0.20149179020770752,1.1671005759667565,0.8500490393076592,0.27269299999999996,0.9109610890037572
0.0205,1.418,1.0,2243.3311748211026,0.20597078947291633,1.1658648409837213,0.8550964307132838,0.272609,0.9122731330530767
0.021,1.416,1.0,2275.0195514894604,0.21042466507803836,1.164645012146225,0.8598653156313418,0.272525,0.9135587371663565
0.021500000000000002,1.414,1.0,2305.408230024183,0.21485355666365868,1.1634402334043727,0.8643754635709407,0.272441,0.9148191648747581
0.022,1.412,1.0,2334.5732938791766,0.2192576081915213,1.162249460276263,0.8686449001228763,0.272357,0.9160558438777467
0.0225,1.41,1.0,2362.5581661127985,0.2236369570602519,1.1610720067997158,0.8726902426061711,0.272273,0.9172697979129857
0.023,1.408,1.0,2389.409159668542,0.22799174066847627,1.1599071870125508,0.876526724157551,0.272189,0.9184620265999143
0.0235,1.406,1.0,2415.175280014564,0.23232209641482002,1.1587543149525883,0.8801683244569114,0.272105,0.9196335060074439
0.024,1.404,1.0,2439.908038217143,0.23662816169790887,1.1576127046576477,0.8836278870562438,0.272021,0.920785189191649
0.0245,1.402,1.0,2463.6557861179454,0.24091007246907425,1.1564817226749626,0.8869172389674135,0.271937,0.9219179543006253
0.025,1.4,1.0,2486.4682419022593,0.24516796549238132,1.1553607421729988,0.8900472723581229,0.271853,0.9230326523962213
0.025500000000000002,1.398,1.0,2508.3953750368823,0.24940197766760064,1.154249151996013,0.8930280314232041,0.271769,0.9241300991980577
0.026000000000000002,1.396,1.0,2529.4707417337027,0.25361224096052565,1.1531465124146145,0.8958688275114061,0.271685,0.9252109239006387
0.0265,1.394,1.0,2549.729226625733,0.2577988873369497,1.1520523836994139,0.898578261200015,0.271601,0.9262757417453005
0.027,1.392,1.0,2569.2069576474846,0.2619620487626663,1.1509663261210206,0.9011642848783162,0.271517,0.9273251542650564
0.0275,1.39,1.0,2587.941225201726,0.26610185720346885,1.149887899950045,0.9036342591991623,0.271433,0.9283597495171088
0.028,1.388,1.0,2605.9704056144315,0.2702184446251507,1.1488166654570966,0.9059950040459763,0.271349,0.9293801023030313
0.0285,1.386,1.0,2623.3220477157874,0.27431193844117435,1.1477522927008985,0.9082528687985627,0.271265,0.9303866709235588
0.029,1.384,1.0,2640.041203729245,0.27838247456119475,1.1466942973151464,0.9104137157739504,0.271181,0.9313800482628043
0.029500000000000002,1.382,1.0,2656.1541158912987,0.2824301805165499,1.1456423770030468,0.9124830307922528,0.271097,0.9323606441993061
0.03,1.38,1.0,2671.6842900862753,0.286455182403674,1.1445962606024276,0.9144659227772053,0.271013,0.9333288310580193
0.0305,1.378,1.0,2686.6558070241713,0.29045760631900164,1.143555676951116,0.9163671480936975,0.270929,0.9342849732624581
0.031,1.376,1.0,2701.0932881629406,0.29443757835896694,1.14252035488694,0.9181911389268967,0.270845,0.935229427432719
0.0315,1.3739999999999999,1.0,2715.02186325967,0.29839522462000434,1.1414900232477274,0.9199420290827046,0.270761,0.9361625424788187
0.032,1.3719999999999999,1.0,2728.4671395533633,0.3023306711985482,1.1404644108713058,0.9216236774670746,0.270677,0.9370846596893398
0.0325,1.3699999999999999,1.0,2741.4506898726763,0.3062440411480662,1.1394432872526614,0.9232396966056553,0.270593,0.937996076658711
0.033,1.3679999999999999,1.0,2753.995352416397,0.31013545976728174,1.1384264138726123,0.9247934639242857,0.270509,0.93889709165296
0.0335,1.3659999999999999,1.0,2766.1279557126895,0.3140050555316241,1.137413519479609,0.9262881349737165,0.27042499999999997,0.9397880250772549
0.034,1.3639999999999999,1.0,2777.863303397473,0.3178529481711203,1.1364044445385435,0.9277266838271154,0.270341,0.9406690928256741
0.0345,1.3619999999999999,1.0,2789.2164486586544,0.3216792574157973,1.1353990295143088,0.9291118983210659,0.27025699999999997,0.9415405063985438
0.035,1.3599999999999999,1.0,2800.202681008927,0.3254841029956822,1.1343971148717973,0.9304463937559793,0.270173,0.9424024729404876
0.035500000000000004,1.3579999999999999,1.0,2810.837513621702,0.32926760464080196,1.1333985410759013,0.9317326254493955,0.27008899999999997,0.9432551952768529
0.036000000000000004,1.3559999999999999,1.0,2821.1366712325394,0.33302988208118367,1.1324031485915138,0.9329729002488113,0.270005,0.9440988719485125
0.0365,1.354,1.0,2831.116078603741,0.33677105504685434,1.1314107778835272,0.9341693870998791,0.269921,0.9449336972450456
0.037,1.3519999999999999,1.0,2840.79184955397,0.340491243267841,1.1304212694168339,0.9353241267562059,0.269837,0.9457598612362935
0.0375,1.35,1.0,2850.1733393033473,0.3441905585020657,1.129434525363941,0.9364390489064808,0.269753,0.9465774988641942
0.038,1.3479999999999999,1.0,2859.2797735228205,0.3478691267960884,1.1284503613441454,0.9375159614913253,0.269669,0.9473868133627502
0.0385,1.346,1.0,2868.124812488312,0.3515270671489508,1.1274686439119588,0.9385565754916891,0.269585,0.9481879617960659
0.039,1.3439999999999999,1.0,2876.717199873038,0.3551644923501971,1.1264892843415542,0.939562510770158,0.269501,0.9489810616924792
0.0395,1.342,1.0,2885.065777181965,0.35878151518937146,1.1255121939071056,0.9405352966840848,0.269417,0.9497662282545445
0.04,1.3399999999999999,1.0,2893.1794792003243,0.3623782484560181,1.124537283882787,0.9414763780628349,0.269333,0.9505435743721241
0.0405,1.338,1.0,2901.067329617743,0.3659548049396813,1.123564465542772,0.9423871207327527,0.269249,0.9513132106349781
0.041,1.3359999999999999,1.0,2908.738436825639,0.3695112974299052,1.1225936501612341,0.9432688166281413,0.269165,0.9520752453448499
0.0415,1.334,1.0,2916.201989890061,0.373047838716234,1.1216247490123474,0.9441226885229679,0.269081,0.9528297845270519
0.042,1.3319999999999999,1.0,2923.4672546987044,0.37656454158821184,1.1206576733702855,0.9449498944148266,0.268997,0.9535769319415481
0.0425,1.33,1.0,2930.5435702825594,0.3800615188353831,1.1196923345092225,0.9457515315897923,0.268913,0.9543167890935345
0.043000000000000003,1.3279999999999998,1.0,2937.436672074249,0.3835388750837525,1.1187286758882204,0.9465286431331015,0.268829,0.9550494308731821
0.043500000000000004,1.326,1.0,2944.1547865880157,0.3869967237123173,1.117766619597719,0.9472822176813793,0.268745,0.955774946774637
0.044,1.324,1.0,2950.7095183668225,0.3904351861054479,1.1168060587061268,0.948013191313149,0.268661,0.956493445948791
0.0445,1.322,1.0,2957.1055905274943,0.3938543674429222,1.1158469469871335,0.948722457786663,0.268577,0.9572049900311234
0.045,1.32,1.0,2963.3477633683437,0.3972543729045178,1.1148892382144286,0.9494108663858821,0.268493,0.9579096394850392
0.0455,1.318,1.0,2969.4408329078365,0.4006353076700126,1.1139328861617017,0.9500792245495207,0.268409,0.9586074536060737
0.046,1.316,1.0,2975.3896294701826,0.40399727691918424,1.1129778446026424,0.9507283003211777,0.268325,0.9592984905259604
0.0465,1.314,1.0,2981.1990163188925,0.4073403858318106,1.1120240673109403,0.9513588246342538,0.268241,0.9599828072165623
0.047,1.3119999999999998,1.0,2986.8738883368133,0.4106647395876694,1.1110715080602849,0.951971493444183,0.268157,0.9606604594936673
0.0475,1.31,1.0,2992.4191707546156,0.41397044336653843,1.1101201206243658,0.9525669697194602,0.268073,0.9613315020206477
0.048,1.3079999999999998,1.0,2997.8398179256187,0.4172576023481955,1.1091698587768724,0.9531458853019973,0.267989,0.9619959883119826
0.0485,1.306,1.0,3003.1408121487893,0.4205263217124183,1.1082206762914946,0.95370884264646,0.267905,0.9626539707366439
0.049,1.3039999999999998,1.0,3008.3271625385646,0.42377670663898465,1.1072725269419215,0.954256416447461,0.267821,0.963305500521348
0.0495,1.302,1.0,3013.402610673475,0.4270088563022612,1.106325375689721,0.9547891554122822,0.267737,0.9639506201672184
0.05,1.2999999999999998,1.0,3018.368064209511,0.4302228602995809,1.1053792121687374,0.9553075847564308,0.267653,0.9645893547279855
0.0505,1.298,1.0,3023.2332067673374,0.433418850956753,1.1044339503072749,0.955812204878511,0.267569,0.9652217794107706
0.051000000000000004,1.2959999999999998,1.0,3028.0003877688955,0.4365969250797864,1.1034895676542236,0.9563034950542529,0.267485,0.9658479253403759
0.051500000000000004,1.294,1.0,3032.671970061343,0.4397571794746903,1.1025460417584734,0.9567819135148057,0.267401,0.9664678230856806
0.052000000000000005,1.2919999999999998,1.0,3037.250329484646,0.44289971094747355,1.1016033501689146,0.9572478985495694,0.26731699999999997,0.967081502660883
0.0525,1.29,1.0,3041.73785445101,0.44602461630414514,1.1006614704344375,0.9577018695422442,0.267233,0.9676889935267119
0.053,1.288,1.0,3046.136945534684,0.4491319923507142,1.099720380103932,0.9581442279446593,0.26714899999999997,0.968290324591605
0.0535,1.286,1.0,3050.4500150740823,0.45222193589318976,1.0987800567262884,0.9585753581926025,0.267065,0.9688855242128547
0.054,1.284,1.0,3054.67948678388,0.45529454373758077,1.097840477850397,0.9589956285675532,0.266981,0.9694746201977231
0.0545,1.282,1.0,3058.8277953790293,0.4583499126898962,1.0969016210251479,0.9594053920079318,0.266897,0.9700576398045236
0.055,1.28,1.0,3062.8973862098655,0.4613881395561451,1.095963463799431,0.9598049868732054,0.26681299999999997,0.9706346097436711
0.0555,1.278,1.0,3066.890714908168,0.4644093211423366,1.095025983722137,0.9601947376639514,0.266729,0.9712055561786995
0.056,1.276,1.0,3070.810247044433,0.4674135542544795,1.0940891583421555,0.9605749557007436,0.266645,0.9717705047272475
0.0565,1.274,1.0,3074.658457796331,0.47040093569858293,1.0931529652083771,0.960945939764533,0.266561,0.9723294804620117
0.057,1.272,1.0,3078.4378316289517,0.4733715622806559,1.0922173818696916,0.961307976700987,0.266477,0.9728825079116692
0.0575,1.27,1.0,3082.148583540101,0.4763255066412996,1.0912824053644135,0.9616613404549167,0.266393,0.9734295997158383
