Time [s],Phi [rad],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ],q [ ],Lmtc [m],fisomrel [ ]
0.0,1.65,1.0,45.06676901984046,0.0006695783402570444,1.3092476958916406,0.005096295009389167,0.28235299999999997,0.6950442046738246
0.0005,1.6482666666666665,1.0,32.62052870730662,0.006275031843142347,1.3094163207696383,0.013244941445601652,0.2822802,0.6947115447748096
0.001,1.6465333333333332,1.0,27.140194864898046,0.0118490431842899,1.3091101310115754,0.03362372816871587,0.2822074,0.6953154556951745
0.0015,1.6447999999999998,1.0,28.222141299037748,0.017391788730985996,1.308229674199873,0.0643833888307061,0.2821346,0.6970486860415823
0.002,1.6430666666666667,1.0,39.73381002936029,0.022903443857155148,1.3065056354949192,0.10306200501800705,0.28206180000000003,0.7004282379140809
0.0025,1.6413333333333333,1.0,68.58936768772126,0.028384182955575606,1.3038438253714102,0.1469790431653331,0.281989,0.705608832218329
0.003,1.6396,1.0,117.8586497680279,0.03383417944046591,1.3006159454069504,0.19376754547780525,0.2819162,0.7118305273185123
0.0035,1.6378666666666666,1.0,182.5871150349415,0.03925360575505267,1.2973103696501898,0.24161521860794574,0.28184339999999997,0.7181331125588888
0.004,1.6361333333333332,1.0,256.1337777569987,0.04464263337329305,1.2941610378602646,0.2891522081716414,0.2817706,0.724072971316875
0.0045000000000000005,1.6343999999999999,1.0,334.30766573165005,0.05000143280436918,1.291212864711874,0.3353600323680232,0.2816978,0.7295761078644893
0.005,1.6326666666666665,1.0,414.9288945260043,0.055330173615471004,1.2884491184940272,0.3795337698439487,0.281625,0.7346846493623044
0.0055,1.6309333333333333,1.0,496.778556944379,0.060629024403204695,1.2858439786996148,0.42123526314634907,0.28155220000000003,0.7394554204119075
0.006,1.6292,1.0,579.0465696968317,0.06589815281440478,1.283375481444995,0.46023592813272357,0.2814794,0.7439360220529889
0.006500000000000001,1.6274666666666666,1.0,661.1303570961915,0.07113772559886292,1.281026453550094,0.4964610871198913,0.2814066,0.7481636875161253
0.007,1.6257333333333333,1.0,742.5337940884122,0.07634790851464397,1.2787838478845337,0.5299431833926734,0.28133379999999997,0.7521669839244043
0.0075,1.6239999999999999,1.0,822.8505712367114,0.08152886634096121,1.2766372819575065,0.5607845955399177,0.281261,0.7559687953799843
0.008,1.6222666666666665,1.0,901.7663765759036,0.086680763267512,1.274577948101071,0.5891298825373836,0.2811882,0.7595884898488696
0.0085,1.6205333333333332,1.0,979.0019664820707,0.09180376207451289,1.2725988422211152,0.615146535212131,0.2811154,0.7630416811852919
0.009000000000000001,1.6187999999999998,1.0,1054.3443531453752,0.0968980247235718,1.270693742177734,0.6390108750860507,0.2810426,0.7663421490619085
0.0095,1.6170666666666667,1.0,1127.6517238332387,0.10196371280464508,1.268856840353788,0.6608989009312066,0.2809698,0.7695025490911279
0.01,1.6153333333333333,1.0,1198.7993044981738,0.10700098640426227,1.2670832894896218,0.6809809576658674,0.280897,0.7725335346792184
0.0105,1.6136,1.0,1267.7010230886478,0.11201000470080555,1.2653686690919668,0.6994180281361572,0.28082419999999997,0.7754447368123669
0.011,1.6118666666666666,1.0,1334.3119610999802,0.11699092619071172,1.2637088144502553,0.7163598609384858,0.2807514,0.7782450930524261
0.0115,1.6101333333333332,1.0,1398.6247067448073,0.12194390926631295,1.2620997625880435,0.7319442414479169,0.2806786,0.780942967000291
0.012,1.6083999999999998,1.0,1460.61788205798,0.12686910976961727,1.2605383097317484,0.7462972652261719,0.2806058,0.7835452460526898
0.0125,1.6066666666666665,1.0,1520.3069115651301,0.13176668349655102,1.25902126538846,0.7595333417142898,0.280533,0.7860586226931153
0.013000000000000001,1.6049333333333333,1.0,1577.7254967239012,0.1366367853839913,1.2575456335474986,0.7717559659799509,0.2804602,0.7884893068897244
0.0135,1.6032,1.0,1632.9336077609669,0.14147957078959394,1.256108466585711,0.7830584527885184,0.2803874,0.7908432823441192
0.014,1.6014666666666666,1.0,1685.9652148337182,0.1462951919868636,1.2547074352728602,0.7935250460219069,0.28031459999999997,0.7931253903594443
0.0145,1.5997333333333332,1.0,1736.8694148381544,0.1510838008488809,1.2533402868918189,0.8032315035496136,0.2802418,0.7953402392779685
0.015,1.5979999999999999,1.0,1785.7147764577971,0.1558455492325702,1.252004770845049,0.8122458923597786,0.280169,0.7974923324978773
0.0155,1.5962666666666665,1.0,1832.5666204960712,0.1605805875311106,1.250698872402497,0.8206294609836188,0.2800962,0.7995856995411879
0.016,1.5945333333333331,1.0,1877.512028385481,0.16528906734579601,1.249420507726548,0.8284372283622298,0.2800234,0.8016243951703796
0.0165,1.5928,1.0,1920.6037343888859,0.16997113625663676,1.2481681219048006,0.8357188639367887,0.2799506,0.8036115537954209
0.017,1.5910666666666666,1.0,1961.9056219252577,0.1746269418436432,1.246940160024854,0.8425190618146831,0.2798778,0.8055502467056744
0.0175,1.5893333333333333,1.0,2001.4918547576563,0.17925663168682557,1.2457350671743068,0.84887807675167,0.27980499999999997,0.8074434845690017
0.018000000000000002,1.5876,1.0,2039.4327910886343,0.1838603519331093,1.2445514279894403,0.854832249687475,0.2797322,0.8092940021311403
0.0185,1.5858666666666665,1.0,2075.8138849191077,0.1884382504211266,1.2433877555649453,0.8604143615949371,0.2796594,0.8111045932431711
0.019,1.5841333333333332,1.0,2110.694399149212,0.1929904711193669,1.2422429144560225,0.8656541474359414,0.2795866,0.8128774566194266
0.0195,1.5823999999999998,1.0,2144.131113620091,0.1975171569772524,1.2411158572641612,0.8705785386042763,0.2795138,0.8146146153564051
0.02,1.5806666666666667,1.0,2176.186194673954,0.2020184509442054,1.2400055365908509,0.8752119345976316,0.279441,0.8163180561407454
0.0205,1.5789333333333333,1.0,2206.926794330249,0.20649449596964814,1.2389109050375813,0.8795764704873209,0.2793682,0.8179897304021806
0.021,1.5772,1.0,2236.4107378191834,0.2109454328204988,1.237831055147812,0.8836922921148924,0.27929539999999997,0.8196313431354542
0.021500000000000002,1.5754666666666666,1.0,2264.712414749215,0.21537140549802505,1.2367649531415512,0.8875776921356788,0.2792226,0.8212447607266552
0.022,1.5737333333333332,1.0,2291.880104494466,0.21977255283923267,1.235711863123361,0.8912494088014676,0.2791498,0.8228313698434755
0.0225,1.5719999999999998,1.0,2317.9600097096154,0.2241490128057332,1.2346710986201104,0.8947227199209262,0.279077,0.824392460052393
0.023,1.5702666666666665,1.0,2343.0009526199988,0.22850092335913819,1.2336419731586683,0.8980115774617855,0.2790042,0.8259292996764163
