Time [s],Phi [rad],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ],q [ ],Lmtc [m],fisomrel [ ]
0.0,1.7,1.0,37.6355276153191,1e-05,1.3323776853295264,0.005000023606102823,0.284453,0.6477202624202371
0.0005,1.6804,0.0,0.0,1e-05,1.3320568405053712,0.005000023586226593,0.2836298,0.648400046790786
0.001,1.6608,0.0,0.0,1e-05,1.3314226938682427,0.005000023546978146,0.2828066,0.6497417027714192
0.0015,1.6412,0.0,0.0,1e-05,1.330788547236703,0.005000023507778456,0.2819834,0.6510807940594119
0.002,1.6216,0.0,0.0,1e-05,1.3301544006003192,0.005000023468627495,0.28116019999999997,0.6524173206767984
0.0025,1.6019999999999999,0.0,0.0,1e-05,1.329520253964427,0.005000023429525236,0.280337,0.6537512826123071
0.003,1.5823999999999998,0.0,0.0,1e-05,1.3288861073290252,0.005000023390471653,0.2795138,0.6550826798659468
0.0035,1.5628,0.0,0.0,1e-05,1.3282519606941137,0.005000023351466722,0.2786906,0.6564115124377234
0.004,1.5432,0.0,0.0,1e-05,1.3276178140596915,0.005000023312510415,0.2778674,0.6577377803276448
0.0045000000000000005,1.5235999999999998,0.0,0.0,1e-05,1.3269836674257582,0.0050000232736027075,0.27704419999999996,0.6590614835357179
0.005,1.504,0.0,0.0,1e-05,1.326349520792313,0.00500002323474357,0.276221,0.6603826220619504
0.0055,1.4844,0.0,0.0,1e-05,1.3257153741593557,0.005000023195932979,0.27539779999999997,0.6617011959063486
0.006,1.4647999999999999,0.0,0.0,1e-05,1.3250812275268853,0.005000023157170907,0.2745746,0.6630172050689205
0.006500000000000001,1.4451999999999998,0.0,0.0,1e-05,1.3244470808949012,0.0050000231184573266,0.2737514,0.664330649549673
0.007,1.4255999999999998,0.0,0.0,1e-05,1.3238129342634029,0.005000023079792213,0.2729282,0.6656415293486133
0.0075,1.406,0.0,0.0,1e-05,1.3231787876323897,0.005000023041175538,0.272105,0.6669498444657486
0.008,1.3863999999999999,0.0,0.0,1e-05,1.322544641001861,0.005000023002607275,0.2712818,0.668255594901086
0.0085,1.3667999999999998,0.0,0.0,1e-05,1.3219104943718165,0.005000022964087398,0.2704586,0.6695587806546324
0.009000000000000001,1.3472,0.0,0.0,1e-05,1.3212763477422553,0.005000022925615881,0.26963539999999997,0.6708594017263949
0.0095,1.3276,0.0,0.0,1e-05,1.3206422011131769,0.005000022887192695,0.2688122,0.672157458116381
0.01,1.3079999999999998,0.0,0.0,1e-05,1.3200080544845807,0.0050000228488178144,0.267989,0.6734529498245971
0.0105,1.2883999999999998,0.0,0.0,1e-05,1.319373907856466,0.005000022810491211,0.2671658,0.674745876851051
0.011,1.2688,0.0,0.0,1e-05,1.318739761228864,0.00500002277221286,0.2663426,0.6760362391956848
0.0115,1.2491999999999999,0.0,0.0,1e-05,1.3181056146017482,0.005000022733982733,0.26551939999999996,0.6773240368585587
0.012,1.2295999999999998,0.0,0.0,1e-05,1.3174714679751103,0.005000022695800802,0.2646962,0.6786092698396956
0.0125,1.2099999999999997,0.0,0.0,1e-05,1.3168373213489497,0.005000022657667041,0.26387299999999997,0.679891938139102
0.013000000000000001,1.1904,0.0,0.0,1e-05,1.3162031747232656,0.005000022619581422,0.2630498,0.6811720417567855
0.0135,1.1707999999999998,0.0,0.0,1e-05,1.3155690280980576,0.005000022581543919,0.2622266,0.6824495806927529
0.014,1.1511999999999998,0.0,0.0,1e-05,1.3149348814733255,0.005000022543554503,0.2614034,0.6837245549470103
0.0145,1.1315999999999997,0.0,0.0,1e-05,1.3143007348490683,0.0050000225056131475,0.2605802,0.6849969645195653
0.015,1.1119999999999999,0.0,0.0,1e-05,1.3136665882252854,0.0050000224677198245,0.259757,0.686266809410425
0.0155,1.0923999999999998,0.0,0.0,1e-05,1.3130324416019765,0.0050000224298745065,0.2589338,0.6875340896195956
0.016,1.0727999999999998,0.0,0.0,1e-05,1.3123982949791408,0.0050000223920771665,0.25811059999999997,0.6887988051470846
0.0165,1.0532,0.0,0.0,1e-05,1.311764148356778,0.005000022354327776,0.2572874,0.6900609559928985
0.017,1.0335999999999999,0.0,0.0,1e-05,1.3111300017348873,0.005000022316626308,0.2564642,0.6913205421570442
0.0175,1.0139999999999998,0.0,0.0,1e-05,1.3104958551134682,0.005000022278972735,0.255641,0.6925775636395286
0.018000000000000002,0.9943999999999997,0.0,0.0,1e-05,1.3098617084925204,0.005000022241367029,0.2548178,0.6938320204403582
0.0185,0.9747999999999998,0.0,0.0,1e-05,1.3092275618720428,0.00500002220380916,0.25399459999999996,0.6950839125595407
0.019,0.9551999999999998,0.0,0.0,1e-05,1.3085934152520353,0.005000022166299103,0.2531714,0.696333239997082
0.0195,0.9355999999999998,0.0,0.0,1e-05,1.307959268632497,0.005000022128836828,0.25234819999999997,0.6975800027529897
0.02,0.9159999999999997,0.0,0.0,1e-05,1.3073251220134277,0.005000022091422309,0.251525,0.6988242008272698
0.0205,0.8963999999999998,0.0,0.0,1e-05,1.3066909753948266,0.005000022054055516,0.2507018,0.7000658342199295
0.021,0.8767999999999997,0.0,0.0,1e-05,1.3060568287766932,0.005000022016736422,0.24987859999999998,0.7013049029309755
0.021500000000000002,0.8571999999999996,0.0,0.0,1e-05,1.305422682159027,0.005000021979464998,0.24905539999999998,0.7025414069604147
0.022,0.8375999999999998,0.0,0.0,1e-05,1.304788535541827,0.005000021942241217,0.2482322,0.7037753463082541
0.0225,0.8179999999999997,0.0,0.0,1e-05,1.3041543889250933,0.005000021905065049,0.247409,0.7050067209744997
0.023,0.7983999999999998,0.0,0.0,1e-05,1.3035202423088248,0.005000021867936467,0.2465858,0.706235530959159
0.0235,0.7787999999999997,0.0,0.0,1e-05,1.3028860956930213,0.005000021830855442,0.2457626,0.7074617762622384
0.024,0.7591999999999997,0.0,0.0,1e-05,1.302251949077682,0.005000021793821946,0.24493939999999997,0.7086854568837446
0.0245,0.7395999999999997,0.0,0.0,1e-05,1.3016178024628067,0.00500002175683595,0.24411619999999998,0.7099065728236842
0.025,0.7199999999999996,0.0,0.0,1e-05,1.3009836558483943,0.005000021719897425,0.24329299999999998,0.7111251240820644
0.025500000000000002,0.7003999999999996,0.0,0.0,1e-05,1.3003495092344446,0.005000021683006344,0.24246979999999999,0.7123411106588913
0.026000000000000002,0.6807999999999996,0.0,0.0,1e-05,1.299715362620957,0.005000021646162677,0.2416466,0.7135545325541718
0.0265,0.6611999999999998,0.0,0.0,1e-05,1.2990812160079306,0.0050000216093663945,0.2408234,0.7147653897679132
0.027,0.6415999999999997,0.0,0.0,1e-05,1.2984470693953654,0.00500002157261747,0.2400002,0.715973682300121
0.0275,0.6219999999999997,0.0,0.0,1e-05,1.2978129227832604,0.005000021535915874,0.23917699999999997,0.7171794101508029
0.028,0.6023999999999996,0.0,0.0,1e-05,1.2971787761716151,0.005000021499261576,0.23835379999999998,0.7183825733199651
0.0285,0.5827999999999995,0.0,0.0,1e-05,1.2965446295604293,0.005000021462654549,0.23753059999999998,0.7195831718076141
0.029,0.5631999999999997,0.0,0.0,1e-05,1.295910482949702,0.005000021426094762,0.23670739999999998,0.720781205613757
0.029500000000000002,0.5435999999999996,0.0,0.0,1e-05,1.2952763363394326,0.005000021389582189,0.2358842,0.7219766747384001
0.03,0.5239999999999998,0.0,0.0,1e-05,1.294642189729621,0.005000021353116798,0.235061,0.7231695791815499
0.0305,0.5043999999999997,0.0,0.0,1e-05,1.294008043120266,0.005000021316698562,0.2342378,0.7243599189432135
0.031,0.4847999999999997,0.0,0.0,1e-05,1.293373896511368,0.00500002128032745,0.23341459999999997,0.7255476940233967
0.0315,0.4651999999999996,0.0,0.0,1e-05,1.2927397499029252,0.005000021244003434,0.23259139999999998,0.7267329044221073
0.032,0.44559999999999955,0.0,0.0,1e-05,1.292105603294938,0.005000021207726485,0.23176819999999998,0.7279155501393504
0.0325,0.4259999999999995,0.0,0.0,1e-05,1.2914714566874055,0.0050000211714965725,0.23094499999999998,0.7290956311751338
0.033,0.40639999999999965,0.0,0.0,1e-05,1.290837310080327,0.005000021135313668,0.2301218,0.7302731475294635
0.0335,0.3867999999999996,0.0,0.0,1e-05,1.2902031634737021,0.005000021099177741,0.22929859999999996,0.7314480992023461
0.034,0.3671999999999995,0.0,0.0,1e-05,1.2895690168675302,0.005000021063088764,0.22847539999999997,0.7326204861937883
0.0345,0.34759999999999946,0.0,0.0,1e-05,1.2889348702618109,0.0050000210270467055,0.22765219999999997,0.7337903085037963
0.035,0.3279999999999994,0.0,0.0,1e-05,1.2883007236565434,0.005000020991051538,0.22682899999999998,0.7349575661323771
0.035500000000000004,0.30839999999999956,0.0,0.0,1e-05,1.287666577051727,0.005000020955103229,0.22600579999999998,0.736122259079537
0.035714285714285705,0.30000000000000004,0.0,0.0,1e-05,1.2873947999355153,0.005000020939711149,0.225653,0.7366206280931924
0.036214285714285706,0.3010315789473685,0.0,0.0,1e-05,1.286760653331343,0.005000020903829732,0.22569632631578948,0.737781657209762
