time [s],phi [rad],torque [Nm],torque_comp [Nm],emg_quad [mV],emg_hams [mV],sremg_quad [%],sremg_hams [%],phase
0.0,0.165307879447937,0.45925673842430115,-49.927670122133414,0.22900481914626925,0.2685526905564275,0.015352287149497074,0.029528142438263988,sf
0.001,0.16531427204608917,0.6617732644081116,-49.64123902766424,0.2262300050737815,0.2598538067245857,0.015386891516232997,0.029554030474435243,f
0.002,0.16532066464424133,0.8642887473106384,-49.35480793319507,0.2267442855504349,0.25434574974404434,0.015351244346105755,0.029508842037268453,f
0.003,0.16531427204608917,0.47763875126838684,-49.068376838725904,0.22924727651625765,0.2569239791495069,0.01529098262509749,0.02938439241063124,f
0.004,0.16532066464424133,0.7353948950767517,-48.78194574425673,0.2275331736874124,0.25685633790359136,0.015226427090241142,0.029182926360566536,f
0.005,0.16532066464424133,0.8458752036094666,-48.49551464978756,0.22990396945287667,0.2530849078547989,0.015132290024651681,0.02905961552695629,f
0.006,0.16532066464424133,0.6801552176475525,-48.20908355531839,0.22986473861429607,0.25603557979345326,0.015107188763239902,0.02888717168595436,f
0.006999999999999999,0.16531427204608917,0.45922520756721497,-47.92265246084922,0.22202405536776917,0.24258674589973525,0.015217059509228449,0.028933594332960274,f
0.008,0.16531427204608917,0.7722535729408264,-47.63622136638005,0.21553893032748217,0.23713917754196048,0.015414098711872203,0.029078339176660525,f
0.009,0.16533344984054563,1.0667749643325806,-47.34979027191088,0.2184061774844217,0.2340742227150538,0.015569955279116244,0.029216617057231886,f
0.01,0.16537818312644958,1.7294443845748901,-47.063359177441704,0.2208091633657286,0.2421640486593345,0.015584953745136455,0.029347497915116844,f
0.011,0.1654740571975708,3.570319652557373,-46.77692808297253,0.2218444462999995,0.25191764526469046,0.015554641038065772,0.029385802831666575,f
0.012,0.16564662754535675,6.276253700256348,-46.32773052195695,0.2238187497135687,0.2552429971213256,0.015493377828257405,0.02928594350274444,f
0.013,0.16588312387466433,10.105095863342285,-44.38970224753374,0.22533009305743135,0.25628433633680436,0.015405843534991462,0.029129352235789052,f
0.014,0.1662026941776276,14.1729097366333,-42.438789714272204,0.22309175176063867,0.24923457549153677,0.015337534488242268,0.02897820706770281,f
0.015000000000000001,0.16654784977436066,17.780258178710938,-40.90495563915199,0.21958236002309595,0.24845468634273488,0.015262755774958968,0.028732271515609958,f
0.016,0.16695690155029297,20.613927841186523,-40.13798488802895,0.22134705331088533,0.2486267804150004,0.01528555530557996,0.028665221931752114,f
0.017,0.16742348670959475,23.50255012512207,-39.27218982396962,0.2299798624937665,0.2630385679308227,0.015327830353015048,0.028732701204781975,f
