time [s],phi [rad],torque [Nm],torque_comp [Nm],emg_quad [mV],emg_hams [mV],sremg_quad [%],sremg_hams [%],phase
0.0,0.20016957819461825,-0.11863857507705688,-39.16198032415127,0.23461388824445584,0.25623792950078395,0.01381191164961681,0.01800220207859958,sf
0.001,0.20017597079277039,-0.08182738721370697,-38.110776306198275,0.23888523889197794,0.2505382384301243,0.013747825123846598,0.018061128425156024,f
0.002,0.20020154118537903,0.15748439729213715,-37.059572288245285,0.24327712730160578,0.24486116699666302,0.013814965935947115,0.018036468486221396,f
0.003,0.20027823746204376,1.1884493827819824,-36.00836827029229,0.24929444867549763,0.2532662593499453,0.013968542804776052,0.01800092962052625,f
0.004,0.2004188448190689,2.9926207065582275,-34.95716425233929,0.24353311753853604,0.25494901021435606,0.014162710282264738,0.017864940033105285,f
0.004999999999999999,0.20062977075576782,5.846182823181152,-32.30226394688518,0.23277876978609086,0.2531666101795288,0.01435704790379258,0.017772064273249982,f
0.006,0.20091739296913147,9.196720123291016,-28.709182036056305,0.22911053140939674,0.25025379511249524,0.014553437032243221,0.017616038539159853,f
0.006999999999999999,0.20126253366470337,12.491873741149902,-25.072604156419896,0.21799758809662656,0.24726141351853215,0.014793644124821028,0.01758159222746855,f
0.008,0.20163963735103607,15.510744094848633,-21.893326912281402,0.21383690112742793,0.24664645782641584,0.01497540611610973,0.017486747037613312,f
0.009,0.20207427442073822,17.645626068115234,-19.3150594265368,0.2139778655160927,0.24791916270638154,0.015137000687681638,0.01746417805848385,f
0.01,0.20257920026779172,18.638694763183594,-17.962090817027615,0.2202561974871716,0.2599888044808786,0.015259566555972126,0.017468154402930612,f
0.011,0.2031288743019104,18.766220092773438,-17.262312801926555,0.21640189660605263,0.26438038449009355,0.015269620891488154,0.017455546318215394,f
0.012,0.20372968912124634,19.22504997253418,-16.317954782112025,0.213994073556243,0.25949452071399404,0.01540868643587456,0.017441741380982045,f
0.013000000000000001,0.20438162982463834,19.831050872802734,-15.068146161498953,0.20892351624078864,0.2607876128245028,0.015549958812457567,0.01734213419457924,f
0.013999999999999999,0.20507831871509555,20.381690979003906,-13.89732101969016,0.20857095485141391,0.25311274244384485,0.015720477003780063,0.01722464669288973,f
0.015,0.20583252608776095,20.342941284179688,-13.329135640115654,0.221228018056932,0.25606287420892404,0.015939743099186984,0.017083665615358692,f
0.016,0.20662507414817813,20.93014144897461,-12.267542760621744,0.22422938629902522,0.2564219502792405,0.016063397639581162,0.016963422729674785,f
0.017,0.20746876299381256,22.86137580871582,-9.62468860707455,0.23128074820805242,0.26432506584559323,0.016189915855355466,0.01680927332147204,f
0.018,0.20835080742835999,26.799556732177734,-5.000452321423422,0.2404754323411894,0.2642404615261927,0.01634162054300845,0.01670968668805328,f
0.019,0.2092839777469635,33.757389068603516,1.8135094039343072,0.23917936992814076,0.26571458707563617,0.01640079385805266,0.016627838000046576,f
0.02,0.21026189625263217,41.69099426269531,9.40275216503166,0.23376528083932527,0.2599428006732267,0.016415409238627235,0.016652784595727187,f
0.021,0.2112653702497482,47.322837829589844,15.156769588578705,0.23475691748823313,0.24957717984677782,0.016362097061294316,0.01675332923405521,f
0.022,0.21231998503208158,52.89927673339844,20.55940105445806,0.24496381710619106,0.2518173530865384,0.01644343919099174,0.016763734421791274,f
0.023,0.21343851089477542,55.63985824584961,23.36979442946218,0.2499356996559838,0.253733640375698,0.016556146338909086,0.01668199393892512,f
0.024,0.21461455523967743,56.20747756958008,23.970914184280467,0.2420692712872627,0.2571203230327825,0.01665909902599748,0.01654603997656775,f
0.025,0.21585452556610107,55.17292022705078,22.972719736317327,0.2395139325199248,0.251097458109083,0.01683291458631742,0.016422801349781697,f
0.026,0.21715202927589417,52.922889709472656,20.60255439174483,0.2278369379157833,0.2510927476126493,0.016991790309282568,0.01628408203689649,f
0.027,0.21851342916488645,49.05226135253906,16.757197790345288,0.22274094648992904,0.24900927952676485,0.017129376555557303,0.016232077869726507,f
0.028,0.21993236243724823,44.94206237792969,12.683034812138482,0.21547403776842022,0.24605118342210064,0.017309227089763738,0.016208755970399544,f
0.029,0.22140881419181824,41.402469635009766,9.20224706968634,0.21212760029482802,0.24694416026025207,0.017503311488077305,0.016207719492483282,f
0.030000000000000002,0.22293640673160553,37.12614822387695,5.4073546054184565,0.22366336212895463,0.26068377907884693,0.017591883506913555,0.016229730125815422,f
0.031000000000000003,0.2245023399591446,33.659854888916016,2.6555581137367805,0.22011404961116937,0.2618840182037604,0.01759778442942754,0.01626969497811571,f
0.032,0.2261066287755966,29.733064651489258,-0.33060876886331125,0.21181840105165994,0.26454441272425894,0.01767793885785388,0.01625141209355503,f
0.033,0.2277940213680267,28.16288948059082,-1.6656848434057108,0.20274712005120282,0.2569174283434449,0.01779291970288775,0.016089362598652908,f
0.034,0.22954531013965607,28.047122955322266,-1.8535920363194127,0.2124709823170271,0.2578319171369384,0.018000510753672108,0.015939141977626917,f
0.035,0.23132856190204618,28.53883934020996,-1.4180558532750958,0.21802973469500808,0.2569180068441527,0.01820272911772398,0.01582895921557777,f
0.036000000000000004,0.233137384057045,28.791038513183594,-0.804123700464967,0.22619075490832768,0.2588056764149194,0.018429688951369125,0.015776640249953545,f
0.037000000000000005,0.23496536910533905,29.448204040527344,0.5932774311280133,0.23428435931287772,0.26337344017919173,0.018663995517174656,0.015684784213031794,f
0.038000000000000006,0.2368381172418594,30.17881202697754,1.844301579953529,0.2399505497949313,0.2645836778330229,0.018806859108191094,0.01567910886083689,f
0.03899999999999999,0.23880672454833982,32.179569244384766,4.0852214955714015,0.23886276083953353,0.26454877060986,0.018951961510057933,0.015673324599686966,f
0.039999999999999994,0.24082645773887634,34.76930618286133,6.475750428109256,0.232684833939371,0.2510806195566275,0.019037229131067604,0.01563317125399413,f
0.040999999999999995,0.2428845465183258,36.51182174682617,8.199655931585058,0.23756877935669138,0.24419229431547468,0.019027779142512673,0.01563048274252086,f
0.041999999999999996,0.24494902789592746,38.38311767578125,10.378946628442973,0.24519782006541846,0.245806629574428,0.019077761645833403,0.01557301012998608,f
0.043,0.2470582574605942,39.167789459228516,11.782342523106172,0.24657131642990787,0.25090825542779754,0.01917820635312396,0.015477192851081081,f
0.044,0.24925696849822998,41.44355010986328,13.662278374920733,0.24766449271093383,0.24942434339613115,0.019392082468702842,0.015346215742978106,f
0.045,0.25154513120651245,43.99509811401367,14.614183768824434,0.23847727986455627,0.2520757692267626,0.019628582108103657,0.015189879566788371,f
0.046,0.2538333237171173,46.4728889465332,15.829199966797667,0.22955692602956834,0.2510807425019314,0.019767276495830766,0.015008483786843519,f
0.047,0.2561534643173218,46.46464920043945,15.666553884152412,0.22480744754568388,0.24139130124585245,0.019895758661748048,0.014924830437767272,f
0.048,0.2585567235946655,47.00840377807617,16.172855356880646,0.2179967955870738,0.2434478505809412,0.020053383967292084,0.01485790658871256,f
0.049,0.2610046863555908,46.92581558227539,16.09468500333575,0.21957498044347468,0.2393269965347956,0.020142799422102984,0.014789548575579915,f
0.05,0.2634910047054291,44.946388244628906,14.875023477711004,0.22835152936428732,0.2531126363954778,0.020168755901519928,0.01480116371713281,f
0.051000000000000004,0.266034871339798,43.99776840209961,14.668322711826368,0.22329480284213254,0.25474528159856696,0.02016230160984561,0.01481374511797025,f
0.052000000000000005,0.26866820454597473,43.950931549072266,14.215931277202678,0.21270120451974198,0.2603568802707089,0.020183156436416005,0.014723925878336331,f
0.053000000000000005,0.2713207006454468,43.20417404174805,13.36746649767848,0.21048117967163787,0.25650744263215086,0.020279334263247573,0.01455481773456948,f
0.054000000000000006,0.2740115821361542,42.58601379394531,12.881445140178338,0.2167655060337429,0.2599905776313963,0.02033413468569572,0.014486179282068738,f
0.05499999999999999,0.2767791152000427,43.66143798828125,13.245659962960092,0.2224577137210512,0.2550006239600695,0.020331646433961802,0.014484154435387812,f
0.055999999999999994,0.2796041965484619,44.16565704345703,13.044902644224894,0.23331757576216497,0.26151591838520183,0.02041978267834784,0.01457827957496667,f
0.056999999999999995,0.2824612557888031,43.6568489074707,12.982556686783962,0.2439256486301829,0.26143504543951773,0.02048021092629507,0.014645352647646607,f
