time [s],phi [rad],torque [Nm],torque_comp [Nm],emg_quad [mV],emg_hams [mV],sremg_quad [%],sremg_hams [%],phase
0.0,0.20015040040016174,-0.29874005913734436,-28.805112814810045,0.23707206565765004,0.2590751524440744,0.014670018094594795,0.010468017944833624,sf
0.001,0.20016318559646604,-0.20670415461063385,-28.596775092091903,0.23218415761526812,0.2610525978909693,0.014888853456527025,0.010514996690454073,f
0.002,0.20016318559646604,0.16156481206417084,-28.388437369373758,0.2219405559199361,0.2486137168060189,0.015140289874750698,0.010554326261889457,f
0.003,0.20016318559646604,0.14315126836299896,-28.180099646655616,0.21581808425966967,0.24977214295333058,0.01532107842363831,0.010663788983021808,f
0.004,0.20016957819461825,0.2352011799812317,-27.97176192393747,0.21242456144052652,0.24660970635569585,0.01552359508632798,0.010819407369535369,f
0.005,0.20016318559646604,0.27204418182373047,-27.76342420121933,0.21960481140941118,0.25370913579879695,0.01563593009213659,0.01091042597000013,f
0.005999999999999999,0.20016318559646604,-0.11463643610477448,-27.555086478501188,0.21583141463487845,0.26676079543322184,0.015666973657156833,0.010924400077482766,f
0.007,0.20016318559646604,-0.022570624947547913,-27.346748755783043,0.20666328617645563,0.2544299868693856,0.01583484725664665,0.010963793799893035,f
0.008,0.20016318559646604,0.10632418096065521,-27.1384110330649,0.2010218305547761,0.25784656481706875,0.01601635594049063,0.01104070035356981,f
0.009000000000000001,0.2001567929983139,0.08792531490325928,-26.930073310346756,0.20743934237914158,0.25036035958588787,0.01621346926049676,0.011133723300733329,f
0.009999999999999998,0.20016957819461825,0.17996245622634888,-26.721735587628615,0.21252493737077655,0.2509325730376987,0.016419836178309975,0.011185695023541687,f
0.011,0.20016318559646604,0.43776607513427734,-26.513397864910473,0.2260115586075896,0.2550628524484063,0.0166159095873055,0.011198643460884613,f
0.012,0.2001567929983139,0.1431659460067749,-26.30506014219233,0.2290040942565892,0.2563759830833675,0.016765994869518724,0.011224320023928348,f
0.013000000000000001,0.20016318559646604,0.23521707952022552,-26.096722419474183,0.23600885108982506,0.26393272980115623,0.016946107475530787,0.011266780321846224,f
0.014000000000000002,0.20016957819461825,0.7507765889167786,-25.88838469675604,0.24121358167677576,0.2583429268103516,0.017116378150745782,0.011307734038073803,f
0.015,0.20016318559646604,0.29045772552490234,-25.6800469740379,0.23207525639088555,0.25663132732129135,0.017184431966181288,0.011407727858985752,f
0.016,0.2001567929983139,-0.18827593326568604,-25.471709251319755,0.23587100152738721,0.252679597320186,0.01722739637910657,0.01153335646143739,f
0.017,0.20016318559646604,-0.022570624947547913,-25.263371528601613,0.24904132085721933,0.2544516409679188,0.017315351435691514,0.011586496660894775,f
0.018000000000000002,0.20017597079277039,0.2535988390445709,-25.05503380588347,0.24701918899230646,0.25729141927819976,0.017475183622740108,0.011560426872576916,f
0.019,0.20022070407867432,0.8611330986022949,-24.846696083165327,0.24774104719611068,0.260266751652387,0.017726872737854577,0.011569828323761052,f
0.02,0.20032297074794767,2.3155453205108643,-24.638358360447185,0.23531855129918522,0.26273040968820416,0.01797999811643842,0.011670234964602635,f
0.021,0.20049554109573364,4.672038555145264,-24.030257706286918,0.2302490765426205,0.25593366409417256,0.018212849698171118,0.011709194006632628,f
0.022000000000000002,0.200764000415802,8.151516914367676,-20.881282797252666,0.21915614780432,0.2533451219553485,0.01849488848697334,0.011735816581981293,f
0.023,0.20108357071876523,11.354667663574219,-17.81785525058063,0.21303051155273656,0.24655888772108112,0.018715425134050168,0.011882478750234527,f
0.024,0.20144788920879367,14.741839408874512,-14.592083603369021,0.21011169236702165,0.25034335206242386,0.0188983184867845,0.01198517075963926,f
0.025,0.20185056328773496,17.281896591186523,-12.330084091358394,0.21982590342904407,0.2508196638655753,0.019032490905412827,0.012102400114940029,f
0.026000000000000002,0.20230436325073242,19.232595443725586,-10.632795056472201,0.21349593615505558,0.2570044040869629,0.019064858138691222,0.012259020077345669,f
0.027,0.2028284817934036,20.29926872253418,-9.640696485086465,0.20410699365471097,0.25089252093167497,0.019216319269373606,0.012363414425539712,f
0.028,0.20342288911342624,20.021581649780273,-9.630605014959299,0.1977692651030861,0.24706313299693144,0.019429265040862866,0.012390447757179231,f
0.029,0.20405566692352295,20.093647003173828,-9.744538498964292,0.20476374860275204,0.2407859635324565,0.0196351467325939,0.012392776644868181,f
