1.410,10.261,-7.233,0.220,0.220,0.262,0.262
1.410,10.082,-7.231,0.221,0.221,0.258,0.258
1.410,10.147,-7.234,0.226,0.226,0.258,0.258
1.409,10.278,-7.221,0.226,0.226,0.233,0.233
1.406,10.343,-7.194,0.215,0.215,0.252,0.252
1.405,10.343,-7.184,0.232,0.232,0.261,0.261
1.409,10.294,-7.227,0.221,0.221,0.253,0.253
1.412,10.310,-7.256,0.230,0.230,0.243,0.243
1.412,10.294,-7.257,0.227,0.227,0.250,0.250
1.411,10.294,-7.249,0.226,0.226,0.253,0.253
1.410,10.310,-7.234,0.224,0.224,0.233,0.233
1.410,10.327,-7.231,0.235,0.235,0.252,0.252
1.410,10.310,-7.238,0.224,0.224,0.255,0.255
1.410,10.310,-7.235,0.230,0.230,0.252,0.252
1.410,10.359,-7.236,0.224,0.224,0.252,0.252
1.410,10.343,-7.234,0.241,0.241,0.247,0.247
1.409,10.327,-7.225,0.223,0.223,0.258,0.258
1.406,10.343,-7.198,0.240,0.240,0.253,0.253
1.405,10.294,-7.186,0.229,0.229,0.252,0.252
1.408,10.359,-7.210,0.243,0.243,0.258,0.258
1.410,10.294,-7.231,0.229,0.229,0.261,0.261
1.413,10.294,-7.262,0.244,0.244,0.258,0.258
1.411,10.343,-7.250,0.233,0.233,0.247,0.247
1.410,10.310,-7.240,0.247,0.247,0.259,0.259
1.410,10.327,-7.234,0.233,0.233,0.266,0.266
1.410,10.310,-7.236,0.249,0.249,0.250,0.250
1.410,10.278,-7.240,0.218,0.218,0.253,0.253
1.409,10.327,-7.225,0.244,0.244,0.247,0.247
1.409,10.294,-7.230,0.218,0.218,0.249,0.249
1.410,10.294,-7.237,0.221,0.221,0.255,0.255
1.408,10.278,-7.216,0.209,0.209,0.237,0.237
1.406,10.278,-7.192,0.217,0.217,0.226,0.226
1.405,10.310,-7.183,0.203,0.203,0.230,0.230
1.410,10.294,-7.231,0.214,0.214,0.233,0.233
1.411,10.327,-7.247,0.208,0.208,0.237,0.237
1.412,10.294,-7.259,0.209,0.209,0.241,0.241
1.412,10.310,-7.251,0.212,0.212,0.227,0.227
1.410,10.310,-7.232,0.212,0.212,0.241,0.241
1.411,10.327,-7.241,0.212,0.212,0.241,0.241
1.409,10.310,-7.229,0.214,0.214,0.246,0.246
1.410,10.343,-7.233,0.221,0.221,0.241,0.241
1.410,10.343,-7.237,0.221,0.221,0.247,0.247
1.410,10.327,-7.234,0.218,0.218,0.247,0.247
1.410,10.294,-7.237,0.223,0.223,0.227,0.227
1.408,10.327,-7.213,0.227,0.227,0.250,0.250
1.405,10.343,-7.185,0.215,0.215,0.258,0.258
1.405,10.327,-7.182,0.232,0.232,0.255,0.255
1.409,10.245,-7.226,0.223,0.223,0.255,0.255
1.413,10.098,-7.264,0.221,0.221,0.246,0.246
1.412,10.131,-7.254,0.221,0.221,0.247,0.247
1.411,10.245,-7.242,0.226,0.226,0.241,0.241
1.410,10.343,-7.236,0.217,0.217,0.247,0.247
1.410,10.359,-7.232,0.217,0.217,0.246,0.246
1.409,10.294,-7.227,0.212,0.212,0.253,0.253
1.410,10.278,-7.233,0.226,0.226,0.253,0.253
1.410,10.294,-7.239,0.212,0.212,0.270,0.270
1.410,10.294,-7.235,0.230,0.230,0.252,0.252
1.408,10.310,-7.220,0.214,0.214,0.247,0.247
1.405,10.278,-7.187,0.223,0.223,0.238,0.238
1.404,10.343,-7.176,0.217,0.217,0.252,0.252
1.407,10.310,-7.200,0.224,0.224,0.249,0.249
1.411,10.310,-7.242,0.212,0.212,0.250,0.250
1.412,10.310,-7.252,0.221,0.221,0.255,0.255
1.411,10.310,-7.248,0.204,0.204,0.249,0.249
1.410,10.294,-7.235,0.221,0.221,0.246,0.246
1.410,10.310,-7.231,0.211,0.211,0.252,0.252
1.410,10.294,-7.238,0.230,0.230,0.253,0.253
1.409,10.343,-7.224,0.218,0.218,0.256,0.256
1.410,10.310,-7.237,0.246,0.246,0.259,0.259
1.410,10.310,-7.233,0.237,0.237,0.258,0.258
1.410,10.327,-7.234,0.252,0.252,0.276,0.276
1.407,10.327,-7.206,0.243,0.243,0.295,0.295
1.406,10.310,-7.193,0.250,0.250,0.278,0.278
1.406,10.310,-7.189,0.237,0.237,0.272,0.272
1.411,10.310,-7.245,0.253,0.253,0.269,0.269
1.411,10.294,-7.242,0.230,0.230,0.255,0.255
1.413,10.327,-7.265,0.253,0.253,0.255,0.255
1.411,10.310,-7.248,0.233,0.233,0.264,0.264
1.410,10.310,-7.232,0.243,0.243,0.273,0.273
1.410,10.310,-7.233,0.227,0.227,0.272,0.272
1.410,10.310,-7.235,0.240,0.240,0.267,0.267
1.410,10.294,-7.231,0.221,0.221,0.284,0.284
1.409,10.294,-7.228,0.240,0.240,0.267,0.267
1.410,10.310,-7.235,0.215,0.215,0.261,0.261
1.410,10.310,-7.234,0.240,0.240,0.259,0.259
1.407,10.310,-7.206,0.220,0.220,0.258,0.258
1.405,10.310,-7.183,0.238,0.238,0.258,0.258
1.406,10.294,-7.197,0.221,0.221,0.264,0.264
1.412,10.294,-7.252,0.235,0.235,0.253,0.253
1.412,10.278,-7.259,0.227,0.227,0.261,0.261
1.411,10.310,-7.244,0.237,0.237,0.267,0.267
1.411,10.310,-7.244,0.226,0.226,0.252,0.252
1.410,10.278,-7.233,0.238,0.238,0.255,0.255
1.410,10.294,-7.232,0.229,0.229,0.258,0.258
1.410,10.343,-7.236,0.233,0.233,0.256,0.256
1.410,10.327,-7.234,0.227,0.227,0.253,0.253
1.410,10.327,-7.232,0.235,0.235,0.261,0.261
1.410,10.343,-7.240,0.226,0.226,0.264,0.264
1.407,10.343,-7.204,0.237,0.237,0.258,0.258
1.406,10.327,-7.191,0.233,0.233,0.258,0.258
1.405,10.343,-7.180,0.233,0.233,0.238,0.238
1.407,10.343,-7.208,0.240,0.240,0.258,0.258
1.413,10.343,-7.264,0.235,0.235,0.261,0.261
1.411,10.294,-7.250,0.227,0.227,0.258,0.258
1.411,10.310,-7.242,0.241,0.241,0.259,0.259
1.410,10.327,-7.236,0.232,0.232,0.255,0.255
1.410,10.310,-7.230,0.232,0.232,0.253,0.253
1.410,10.310,-7.233,0.230,0.230,0.264,0.264
1.410,10.310,-7.234,0.224,0.224,0.252,0.252
1.410,10.310,-7.240,0.206,0.206,0.233,0.233
1.410,10.294,-7.239,0.209,0.209,0.227,0.227
1.409,10.310,-7.222,0.209,0.209,0.232,0.232
1.405,10.343,-7.186,0.201,0.201,0.230,0.230
1.404,10.310,-7.175,0.211,0.211,0.237,0.237
1.407,10.245,-7.201,0.201,0.201,0.218,0.218
1.410,10.033,-7.238,0.215,0.215,0.246,0.246
1.412,9.821,-7.257,0.203,0.203,0.247,0.247
1.411,9.886,-7.246,0.221,0.221,0.240,0.240
1.410,10.212,-7.235,0.211,0.211,0.233,0.233
1.410,10.571,-7.231,0.217,0.217,0.240,0.240
1.410,10.637,-7.233,0.217,0.217,0.244,0.244
1.409,10.702,-7.224,0.227,0.227,0.233,0.233
1.410,10.784,-7.232,0.217,0.217,0.249,0.249
1.410,10.637,-7.237,0.238,0.238,0.256,0.256
1.410,10.343,-7.233,0.218,0.218,0.250,0.250
1.408,10.408,-7.213,0.235,0.235,0.247,0.247
1.406,10.457,-7.194,0.220,0.220,0.253,0.253
1.405,10.310,-7.181,0.233,0.233,0.250,0.250
1.409,10.114,-7.219,0.218,0.218,0.247,0.247
1.412,10.245,-7.255,0.230,0.230,0.252,0.252
1.412,10.506,-7.250,0.218,0.218,0.253,0.253
1.411,10.490,-7.247,0.232,0.232,0.250,0.250
1.410,10.359,-7.230,0.215,0.215,0.255,0.255
1.410,10.294,-7.230,0.237,0.237,0.256,0.256
1.410,10.261,-7.236,0.215,0.215,0.249,0.249
1.409,10.310,-7.227,0.227,0.227,0.253,0.253
1.410,10.278,-7.235,0.217,0.217,0.253,0.253
1.410,10.294,-7.237,0.232,0.232,0.250,0.250
1.409,10.310,-7.220,0.215,0.215,0.247,0.247
1.406,10.278,-7.197,0.229,0.229,0.249,0.249
1.406,10.327,-7.191,0.212,0.212,0.250,0.250
1.406,10.278,-7.194,0.223,0.223,0.246,0.246
1.410,10.327,-7.236,0.220,0.220,0.253,0.253
1.413,10.327,-7.259,0.224,0.224,0.247,0.247
1.411,10.310,-7.245,0.209,0.209,0.252,0.252
1.410,10.294,-7.232,0.232,0.232,0.244,0.244
1.410,10.310,-7.234,0.218,0.218,0.256,0.256
1.409,10.327,-7.227,0.229,0.229,0.261,0.261
1.410,10.327,-7.233,0.237,0.237,0.264,0.264
1.410,10.327,-7.233,0.247,0.247,0.272,0.272
1.411,10.310,-7.240,0.237,0.237,0.276,0.276
1.409,10.343,-7.227,0.258,0.258,0.275,0.275
1.407,10.310,-7.205,0.241,0.241,0.285,0.285
1.406,10.327,-7.188,0.253,0.253,0.272,0.272
1.405,10.310,-7.183,0.238,0.238,0.276,0.276
1.407,10.310,-7.197,0.247,0.247,0.261,0.261
1.412,10.310,-7.256,0.230,0.230,0.276,0.276
1.412,10.343,-7.253,0.244,0.244,0.264,0.264
1.412,10.343,-7.252,0.229,0.229,0.276,0.276
1.411,10.310,-7.240,0.247,0.247,0.243,0.243
1.410,10.310,-7.229,0.223,0.223,0.266,0.266
1.409,10.294,-7.228,0.241,0.241,0.272,0.272
1.410,10.245,-7.232,0.224,0.224,0.266,0.266
1.410,10.310,-7.236,0.240,0.240,0.250,0.250
1.410,10.327,-7.232,0.223,0.223,0.255,0.255
1.410,10.327,-7.232,0.237,0.237,0.258,0.258
1.407,10.310,-7.199,0.229,0.229,0.261,0.261
1.405,10.278,-7.177,0.235,0.235,0.249,0.249
1.406,10.327,-7.187,0.221,0.221,0.261,0.261
1.411,10.310,-7.243,0.232,0.232,0.253,0.253
1.412,10.294,-7.254,0.221,0.221,0.259,0.259
1.412,10.310,-7.257,0.241,0.241,0.279,0.279
